dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,abook,66,25,33,8,37.88,35.36,2333.46,-100.64
scanner,momentum,96,38,58,0,39.58,18.54,1779.9,-100.46
scanner,intraday,46,8,6,32,17.39,27.67,1272.88,-99.88
scanner,short,53,21,32,0,39.62,18.77,994.59,-100.63
gap_tier,(none),66,25,33,8,37.88,35.36,2333.46,-100.64
gap_tier,EXTREME,26,15,10,1,57.69,73.36,1907.43,-100.46
gap_tier,IN_BAND,95,31,45,19,32.63,19.31,1834.23,-100.26
gap_tier,PARABOLIC,26,10,15,1,38.46,18.77,488.07,-100.36
gap_tier,STRETCHED,48,11,26,11,22.92,-3.8,-182.36,-100.63
regime,FAVORABLE,260,91,129,40,35.0,23.77,6180.96,-100.64
regime,FAVOR,1,1,0,0,100.0,199.87,199.87,199.87
stop_method,FIXED,215,84,123,8,39.07,23.76,5107.95,-100.64
stop_method,PM low,22,5,2,15,22.73,42.53,935.68,-99.84
stop_method,fixed-%-fallback,1,1,0,0,100.0,199.89,199.89,199.89
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
side,LONG,184,68,93,23,36.96,27.44,5049.04,-100.64
side,SHORT,77,24,36,17,31.17,17.3,1331.79,-100.63
setup,MOO,66,25,33,8,37.88,35.36,2333.46,-100.64
setup,MOO_GENESIS,96,38,58,0,39.58,18.54,1779.9,-100.46
setup,SHORT_GENESIS_9_33,53,21,32,0,39.62,18.77,994.59,-100.63
setup,HOLDING-LONG,22,5,2,15,22.73,42.53,935.68,-99.84
setup,FAILED-GAP-SHORT,21,3,3,15,14.29,20.95,439.96,-99.88
setup,ORB-SHORT,1,0,0,1,0.0,0.11,0.11,0.11
setup,ORB-SHORT|FAILED-GAP-SHORT,2,0,1,1,0.0,-51.44,-102.87,-99.78
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,SINGLE,78,24,43,11,30.77,12.43,969.39,-100.63
cohort,MID,147,51,77,19,34.69,21.94,3225.0,-100.01
cohort,PENNY,114,41,52,21,35.96,27.68,3155.83,-100.64
conviction_band,(none),261,92,129,40,35.25,24.45,6380.83,-100.64
