dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,576,243,329,4,42.19,27.24,15690.89,-100.56
scanner,short,223,90,132,1,40.36,21.9,4883.18,-100.68
scanner,abook,769,221,463,85,28.74,0.42,326.72,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,225,95,129,1,42.22,27.03,6082.07,-100.56
gap_tier,EXTREME,133,63,66,4,47.37,44.44,5910.24,-100.55
gap_tier,IN_BAND,437,146,236,55,33.41,13.5,5901.52,-102.19
gap_tier,(none),594,177,360,57,29.8,1.63,965.67,-100.64
gap_tier,NONE,127,31,71,25,24.41,-0.43,-54.46,-100.95
gap_tier,STRETCHED,202,56,127,19,27.72,-6.77,-1367.39,-100.68
regime,FAVORABLE,1170,378,652,140,32.31,10.87,12722.83,-100.95
regime,CHOP,155,58,87,10,37.42,20.63,3198.29,-100.39
regime,HOSTILE,390,132,247,11,33.85,4.66,1816.28,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1567,554,923,90,35.35,13.4,20999.75,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1450,475,832,143,32.76,9.87,14315.12,-102.19
side,SHORT,268,93,157,18,34.7,11.65,3122.53,-100.68
setup,MOO_GENESIS,576,243,329,4,42.19,27.24,15690.89,-100.56
setup,SHORT_GENESIS_9_33,223,90,132,1,40.36,21.9,4883.18,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,MOO,768,221,462,85,28.78,0.55,425.68,-102.19
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1534,500,902,132,32.59,7.9,12125.17,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,943,316,527,100,33.51,13.49,12722.26,-100.03
cohort,PENNY,775,252,462,61,32.52,6.08,4715.39,-102.19
conviction_band,(none),1718,568,989,161,33.06,10.15,17437.65,-102.19
regime_x_scanner,FAVORABLE | momentum,385,156,226,3,40.52,22.3,8584.12,-100.46
regime_x_scanner,HOSTILE | momentum,143,65,77,1,45.45,37.12,5308.43,-100.56
regime_x_scanner,FAVORABLE | abook,492,147,274,71,29.88,8.13,3997.52,-100.95
regime_x_scanner,FAVORABLE | short,149,61,87,1,40.94,24.12,3593.79,-100.63
regime_x_scanner,CHOP | momentum,48,22,26,0,45.83,37.47,1798.34,-100.39
regime_x_scanner,CHOP | abook,91,31,56,4,34.07,10.0,910.45,-100.19
regime_x_scanner,HOSTILE | short,64,24,40,0,37.5,12.33,789.35,-100.68
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,183,43,130,10,23.5,-23.4,-4281.5,-102.19
