dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,546,232,311,3,42.49,28.07,15327.09,-100.56
scanner,short,214,83,130,1,38.79,17.21,3682.5,-100.68
scanner,abook,745,216,450,79,28.99,0.39,292.53,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,218,94,123,1,43.12,29.73,6482.11,-100.56
gap_tier,IN_BAND,409,136,221,52,33.25,13.21,5401.9,-102.19
gap_tier,EXTREME,128,59,65,4,46.09,40.71,5210.49,-100.55
gap_tier,(none),592,177,359,56,29.9,1.8,1065.89,-100.64
gap_tier,NONE,115,27,66,22,23.48,-5.69,-654.1,-100.95
gap_tier,STRETCHED,193,52,122,19,26.94,-8.64,-1667.31,-100.68
regime,FAVORABLE,1143,368,642,133,32.2,10.0,11425.88,-100.95
regime,CHOP,147,55,82,10,37.41,21.08,3098.83,-100.39
regime,HOSTILE,362,122,229,11,33.7,4.46,1614.02,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1504,531,890,83,35.31,12.9,19401.08,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1396,459,801,136,32.88,9.97,13917.13,-102.19
side,SHORT,259,86,155,18,33.2,7.42,1921.85,-100.68
setup,MOO_GENESIS,546,232,311,3,42.49,28.07,15327.09,-100.56
setup,SHORT_GENESIS_9_33,214,83,130,1,38.79,17.21,3682.5,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,MOO,744,216,449,79,29.03,0.53,391.49,-102.19
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1471,477,869,125,32.43,7.16,10526.5,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,922,306,516,100,33.19,12.82,11818.91,-100.03
cohort,PENNY,733,239,440,54,32.61,5.48,4020.07,-102.19
conviction_band,(none),1655,545,956,154,32.93,9.57,15838.98,-102.19
regime_x_scanner,FAVORABLE | momentum,376,152,222,2,40.43,21.87,8222.7,-100.46
regime_x_scanner,HOSTILE | momentum,128,61,66,1,47.66,43.79,5604.69,-100.56
regime_x_scanner,FAVORABLE | abook,479,145,269,65,30.27,7.86,3763.07,-100.95
regime_x_scanner,FAVORABLE | short,144,57,86,1,39.58,20.09,2892.71,-100.63
regime_x_scanner,CHOP | momentum,42,19,23,0,45.24,35.71,1499.7,-100.39
regime_x_scanner,CHOP | abook,89,31,54,4,34.83,12.47,1109.63,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,HOSTILE | short,60,21,39,0,35.0,4.83,289.75,-100.68
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,174,40,124,10,22.99,-24.6,-4280.42,-102.19
