dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,565,238,324,3,42.12,26.95,15226.85,-100.56
scanner,short,218,86,131,1,39.45,19.19,4183.88,-100.68
scanner,abook,759,218,458,83,28.72,0.13,98.62,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,222,94,127,1,42.34,27.4,6082.17,-100.56
gap_tier,IN_BAND,428,142,232,54,33.18,12.94,5537.06,-102.19
gap_tier,EXTREME,128,59,65,4,46.09,40.71,5210.49,-100.55
gap_tier,(none),593,177,360,56,29.85,1.63,965.67,-100.64
gap_tier,NONE,122,29,69,24,23.77,-3.13,-381.7,-100.95
gap_tier,STRETCHED,199,55,125,19,27.64,-6.87,-1367.48,-100.68
regime,FAVORABLE,1157,373,647,137,32.24,10.49,12133.37,-100.95
regime,CHOP,155,58,87,10,37.42,20.63,3198.29,-100.39
regime,HOSTILE,377,125,241,11,33.16,2.69,1014.3,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1541,542,912,87,35.17,12.72,19608.31,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1429,467,822,140,32.68,9.53,13622.98,-102.19
side,SHORT,263,89,156,18,33.84,9.21,2423.23,-100.68
setup,MOO_GENESIS,565,238,324,3,42.12,26.95,15226.85,-100.56
setup,SHORT_GENESIS_9_33,218,86,131,1,39.45,19.19,4183.88,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,MOO,758,218,457,83,28.76,0.26,197.58,-102.19
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1508,488,891,129,32.36,7.12,10733.73,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,937,312,525,100,33.3,12.94,12120.1,-100.03
cohort,PENNY,755,244,453,58,32.32,5.2,3926.11,-102.19
conviction_band,(none),1692,556,978,158,32.86,9.48,16046.21,-102.19
regime_x_scanner,FAVORABLE | momentum,378,153,223,2,40.48,22.02,8322.6,-100.46
regime_x_scanner,HOSTILE | momentum,139,63,75,1,45.32,36.73,5105.91,-100.56
regime_x_scanner,FAVORABLE | abook,487,146,272,69,29.98,7.95,3869.28,-100.95
regime_x_scanner,FAVORABLE | short,148,60,87,1,40.54,22.93,3394.09,-100.63
regime_x_scanner,CHOP | momentum,48,22,26,0,45.83,37.47,1798.34,-100.39
regime_x_scanner,CHOP | abook,91,31,56,4,34.07,10.0,910.45,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,HOSTILE | short,60,21,39,0,35.0,4.83,289.75,-100.68
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,178,41,127,10,23.03,-24.61,-4381.36,-102.19
