dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,536,227,307,2,42.35,27.44,14707.41,-100.56
scanner,short,208,82,125,1,39.42,19.15,3982.77,-100.68
scanner,abook,737,214,444,79,29.04,0.67,491.92,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,215,92,122,1,42.79,28.75,6182.01,-100.56
gap_tier,IN_BAND,400,133,215,52,33.25,13.5,5401.22,-102.19
gap_tier,EXTREME,125,58,63,4,46.4,41.69,5210.71,-100.46
gap_tier,(none),592,177,359,56,29.9,1.8,1065.89,-100.64
gap_tier,NONE,113,26,65,22,23.01,-6.67,-753.99,-100.95
gap_tier,STRETCHED,186,51,117,18,27.42,-7.46,-1386.88,-100.68
regime,FAVORABLE,1122,361,629,132,32.17,10.08,11306.64,-100.95
regime,CHOP,144,54,80,10,37.5,21.51,3098.05,-100.39
regime,HOSTILE,362,122,229,11,33.7,4.46,1614.02,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1480,523,875,82,35.34,13.03,19281.06,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1378,452,791,135,32.8,9.79,13496.84,-102.19
side,SHORT,253,85,150,18,33.6,8.78,2222.12,-100.68
setup,MOO_GENESIS,536,227,307,2,42.35,27.44,14707.41,-100.56
setup,SHORT_GENESIS_9_33,208,82,125,1,39.42,19.15,3982.77,-100.68
setup,MOO,736,214,443,79,29.08,0.8,590.88,-102.19
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1447,469,854,124,32.41,7.19,10406.48,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,917,304,514,99,33.15,12.65,11599.13,-100.03
cohort,PENNY,714,233,427,54,32.63,5.77,4119.83,-102.19
conviction_band,(none),1631,537,941,153,32.92,9.64,15718.96,-102.19
regime_x_scanner,FAVORABLE | momentum,366,147,218,1,40.16,20.77,7603.02,-100.46
regime_x_scanner,HOSTILE | momentum,128,61,66,1,47.66,43.79,5604.69,-100.56
regime_x_scanner,FAVORABLE | abook,474,144,265,65,30.38,8.36,3963.24,-100.95
regime_x_scanner,FAVORABLE | short,138,56,81,1,40.58,23.14,3192.98,-100.63
regime_x_scanner,CHOP | momentum,42,19,23,0,45.24,35.71,1499.7,-100.39
regime_x_scanner,CHOP | abook,86,30,52,4,34.88,12.89,1108.85,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,HOSTILE | short,60,21,39,0,35.0,4.83,289.75,-100.68
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,174,40,124,10,22.99,-24.6,-4280.42,-102.19
