dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,309,138,170,1,44.66,34.32,10605.21,-100.56
scanner,short,118,48,70,0,40.68,21.96,2591.21,-100.68
scanner,abook,324,99,199,26,30.56,3.23,1046.19,-100.64
scanner,intraday,136,11,61,64,8.09,-27.1,-3686.2,-100.0
gap_tier,PARABOLIC,118,55,62,1,46.61,40.55,4785.39,-100.56
gap_tier,EXTREME,71,35,34,2,49.3,49.75,3532.59,-100.46
gap_tier,IN_BAND,243,71,127,45,29.22,6.83,1659.97,-100.26
gap_tier,(none),324,99,199,26,30.56,3.23,1046.19,-100.64
gap_tier,STRETCHED,131,36,78,17,27.48,-3.57,-467.73,-100.68
regime,FAVORABLE,639,214,347,78,33.49,14.14,9038.25,-100.64
regime,CHOP,127,48,69,10,37.8,23.61,2998.13,-100.39
regime,HOSTILE,121,34,84,3,28.1,-12.23,-1479.97,-100.68
stop_method,FIXED,751,285,439,27,37.95,18.96,14242.61,-100.68
stop_method,PM low,66,8,11,47,12.12,8.68,573.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,2,1,1,0,50.0,49.95,99.9,-99.99
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,724,245,405,74,33.84,13.43,9725.85,-100.64
side,SHORT,163,51,95,17,31.29,5.1,830.56,-100.68
setup,MOO_GENESIS,309,138,170,1,44.66,34.32,10605.21,-100.56
setup,SHORT_GENESIS_9_33,118,48,70,0,40.68,21.96,2591.21,-100.68
setup,MOO,324,99,199,26,30.56,3.23,1046.19,-100.64
setup,HOLDING-LONG,42,7,10,25,16.67,9.13,383.61,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,20,0,10,10,0.0,-46.18,-923.58,-100.0
setup,ORB-LONG,29,1,16,12,3.45,-47.78,-1385.58,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,SINGLE,704,228,414,62,32.39,7.31,5144.97,-100.68
cohort,MID,482,164,269,49,34.02,14.85,7156.81,-100.01
cohort,PENNY,405,132,231,42,32.59,8.39,3399.6,-100.68
conviction_band,(none),887,296,500,91,33.37,11.9,10556.41,-100.68
regime_x_scanner,FAVORABLE | momentum,222,98,124,0,44.14,32.39,7189.73,-100.46
regime_x_scanner,FAVORABLE | abook,198,67,111,20,33.84,15.31,3031.68,-100.64
regime_x_scanner,FAVORABLE | short,89,38,51,0,42.7,28.01,2492.5,-100.63
regime_x_scanner,HOSTILE | momentum,46,21,24,1,45.65,39.48,1816.14,-100.56
regime_x_scanner,CHOP | momentum,41,19,22,0,46.34,39.01,1599.34,-100.39
regime_x_scanner,CHOP | abook,70,24,42,4,34.29,12.99,909.29,-100.07
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,HOSTILE | short,19,5,14,0,26.32,-21.12,-401.33,-100.68
regime_x_scanner,HOSTILE | abook,56,8,46,2,14.29,-51.69,-2894.78,-100.09
regime_x_scanner,FAVORABLE | intraday,130,11,61,58,8.46,-28.27,-3675.66,-100.0
