dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,563,237,323,3,42.1,26.87,15126.95,-100.56
scanner,short,214,83,130,1,38.79,17.21,3682.5,-100.68
scanner,abook,753,217,455,81,28.82,0.05,35.11,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,221,94,126,1,42.53,27.97,6182.23,-100.56
gap_tier,IN_BAND,423,140,230,53,33.1,12.41,5250.52,-102.19
gap_tier,EXTREME,128,59,65,4,46.09,40.71,5210.49,-100.55
gap_tier,(none),592,177,359,56,29.9,1.8,1065.89,-100.64
gap_tier,NONE,119,28,68,23,23.53,-4.71,-560.28,-100.95
gap_tier,STRETCHED,197,53,125,19,26.9,-8.97,-1767.43,-100.68
regime,FAVORABLE,1145,368,642,135,32.14,10.02,11468.58,-100.95
regime,CHOP,155,58,87,10,37.42,20.63,3198.29,-100.39
regime,HOSTILE,377,125,241,11,33.16,2.69,1014.3,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1529,537,907,85,35.12,12.39,18943.52,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1421,465,818,138,32.72,9.47,13459.57,-102.19
side,SHORT,259,86,155,18,33.2,7.42,1921.85,-100.68
setup,MOO_GENESIS,563,237,323,3,42.1,26.87,15126.95,-100.56
setup,SHORT_GENESIS_9_33,214,83,130,1,38.79,17.21,3682.5,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,MOO,752,217,454,81,28.86,0.18,134.07,-102.19
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1496,483,886,127,32.29,6.73,10068.94,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,935,311,524,100,33.26,12.85,12018.7,-100.03
cohort,PENNY,745,240,449,56,32.21,4.51,3362.72,-102.19
conviction_band,(none),1680,551,973,156,32.8,9.16,15381.42,-102.19
regime_x_scanner,FAVORABLE | momentum,376,152,222,2,40.43,21.87,8222.7,-100.46
regime_x_scanner,HOSTILE | momentum,139,63,75,1,45.32,36.73,5105.91,-100.56
regime_x_scanner,FAVORABLE | abook,481,145,269,67,30.15,7.91,3805.77,-100.95
regime_x_scanner,FAVORABLE | short,144,57,86,1,39.58,20.09,2892.71,-100.63
regime_x_scanner,CHOP | momentum,48,22,26,0,45.83,37.47,1798.34,-100.39
regime_x_scanner,CHOP | abook,91,31,56,4,34.07,10.0,910.45,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,HOSTILE | short,60,21,39,0,35.0,4.83,289.75,-100.68
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,178,41,127,10,23.03,-24.61,-4381.36,-102.19
