dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,486,209,276,1,43.0,29.24,14209.06,-100.56
scanner,short,197,75,121,1,38.07,15.18,2990.07,-100.68
scanner,abook,722,206,438,78,28.53,-0.76,-552.15,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,193,83,109,1,43.01,29.44,5682.52,-100.56
gap_tier,EXTREME,120,56,61,3,46.67,41.72,5006.87,-100.46
gap_tier,IN_BAND,373,118,203,52,31.64,9.7,3618.28,-102.19
gap_tier,(none),592,177,359,56,29.9,1.8,1065.89,-100.64
gap_tier,STRETCHED,174,49,107,18,28.16,-4.53,-787.53,-100.68
gap_tier,NONE,103,21,61,21,20.39,-13.61,-1402.19,-100.19
regime,FAVORABLE,1087,347,610,130,31.92,9.53,10353.87,-100.64
regime,CHOP,144,54,80,10,37.5,21.51,3098.05,-100.39
regime,HOSTILE,321,103,207,11,32.09,0.1,31.67,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1404,490,834,80,34.9,11.93,16745.94,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1313,426,754,133,32.44,9.1,11954.42,-102.19
side,SHORT,242,78,146,18,32.23,5.08,1229.42,-100.68
setup,MOO_GENESIS,486,209,276,1,43.0,29.24,14209.06,-100.56
setup,SHORT_GENESIS_9_33,197,75,121,1,38.07,15.18,2990.07,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,MOO,721,206,437,78,28.57,-0.63,-453.19,-102.19
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1371,436,813,122,31.8,5.74,7871.36,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,892,294,500,98,32.96,12.34,11007.81,-100.03
cohort,PENNY,663,210,400,53,31.67,3.28,2176.03,-102.19
conviction_band,(none),1555,504,900,151,32.41,8.48,13183.84,-102.19
regime_x_scanner,FAVORABLE | momentum,342,139,203,0,40.64,21.92,7497.37,-100.46
regime_x_scanner,HOSTILE | momentum,102,51,50,1,50.0,51.1,5211.99,-100.56
regime_x_scanner,FAVORABLE | abook,467,140,263,64,29.98,7.1,3315.2,-100.64
regime_x_scanner,FAVORABLE | short,134,54,79,1,40.3,22.34,2993.9,-100.63
regime_x_scanner,CHOP | momentum,42,19,23,0,45.24,35.71,1499.7,-100.39
regime_x_scanner,CHOP | abook,86,30,52,4,34.88,12.89,1108.85,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,HOSTILE | short,53,16,37,0,30.19,-9.51,-503.87,-100.68
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,166,36,120,10,21.69,-28.17,-4676.45,-102.19
