dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,475,207,267,1,43.58,30.96,14705.38,-100.56
scanner,short,195,73,121,1,37.44,13.28,2590.07,-100.68
scanner,abook,632,194,382,56,30.7,3.76,2379.04,-100.64
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,190,83,106,1,43.68,31.48,5981.86,-100.56
gap_tier,EXTREME,115,51,61,3,44.35,34.85,4008.15,-100.46
gap_tier,IN_BAND,364,115,197,52,31.59,9.95,3620.6,-100.27
gap_tier,(none),554,175,333,46,31.59,5.87,3253.18,-100.64
gap_tier,NONE,59,15,35,9,25.42,-4.49,-264.85,-100.19
gap_tier,STRETCHED,170,49,103,18,28.82,-2.28,-387.59,-100.68
regime,FAVORABLE,1026,337,581,108,32.85,10.7,10974.41,-100.64
regime,CHOP,127,48,69,10,37.8,23.61,2998.13,-100.39
regime,HOSTILE,299,103,185,11,34.45,7.49,2238.81,-100.68
stop_method,FIXED,1301,474,769,58,36.43,15.2,19773.45,-100.68
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1212,412,689,111,33.99,12.69,15381.93,-100.64
side,SHORT,240,76,146,18,31.67,3.46,829.42,-100.68
setup,MOO_GENESIS,475,207,267,1,43.58,30.96,14705.38,-100.56
setup,SHORT_GENESIS_9_33,195,73,121,1,37.44,13.28,2590.07,-100.68
setup,MOO,631,194,381,56,30.74,3.93,2478.0,-100.64
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1268,420,748,100,33.12,8.6,10898.87,-100.68
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,816,284,450,82,34.8,16.96,13840.66,-100.03
cohort,PENNY,636,204,385,47,32.08,3.73,2370.69,-100.68
conviction_band,(none),1452,488,835,129,33.61,11.16,16211.35,-100.68
regime_x_scanner,FAVORABLE | momentum,332,137,195,0,41.27,23.78,7894.05,-100.46
regime_x_scanner,HOSTILE | momentum,102,51,50,1,50.0,51.1,5211.99,-100.56
regime_x_scanner,FAVORABLE | abook,418,134,242,42,32.06,9.42,3939.06,-100.64
regime_x_scanner,FAVORABLE | short,132,52,79,1,39.39,19.65,2593.9,-100.63
regime_x_scanner,CHOP | momentum,41,19,22,0,46.34,39.01,1599.34,-100.39
regime_x_scanner,CHOP | abook,70,24,42,4,34.29,12.99,909.29,-100.07
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,HOSTILE | short,53,16,37,0,30.19,-9.51,-503.87,-100.68
regime_x_scanner,HOSTILE | abook,144,36,98,10,25.0,-17.15,-2469.31,-100.09
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
