dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,448,195,252,1,43.53,30.82,13808.71,-100.56
scanner,abook,543,173,330,40,31.86,5.9,3205.63,-100.64
scanner,short,187,72,114,1,38.5,16.52,3089.55,-100.68
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,181,79,101,1,43.65,31.39,5681.35,-100.56
gap_tier,IN_BAND,331,107,173,51,32.33,13.39,4432.37,-100.27
gap_tier,EXTREME,106,48,55,3,45.28,37.82,4008.53,-100.46
gap_tier,(none),543,173,330,40,31.86,5.9,3205.63,-100.64
gap_tier,STRETCHED,167,47,102,18,28.14,-4.11,-687.13,-100.68
regime,FAVORABLE,916,309,515,92,33.73,12.88,11802.6,-100.64
regime,CHOP,127,48,69,10,37.8,23.61,2998.13,-100.39
regime,HOSTILE,285,97,177,11,34.04,6.46,1840.02,-100.68
stop_method,FIXED,1177,440,695,42,37.38,17.16,20202.85,-100.68
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1096,379,622,95,34.58,13.97,15311.85,-100.64
side,SHORT,232,75,139,18,32.33,5.73,1328.9,-100.68
setup,MOO_GENESIS,448,195,252,1,43.53,30.82,13808.71,-100.56
setup,MOO,542,173,329,40,31.92,6.1,3304.59,-100.64
setup,SHORT_GENESIS_9_33,187,72,114,1,38.5,16.52,3089.55,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1144,386,674,84,33.74,9.9,11328.27,-100.68
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,717,260,391,66,36.26,20.6,14770.1,-100.03
cohort,PENNY,611,194,370,47,31.75,3.06,1870.65,-100.68
conviction_band,(none),1328,454,761,113,34.19,12.53,16640.75,-100.68
regime_x_scanner,FAVORABLE | momentum,312,130,182,0,41.67,24.98,7794.54,-100.46
regime_x_scanner,FAVORABLE | abook,332,113,193,26,34.04,13.45,4466.7,-100.64
regime_x_scanner,HOSTILE | momentum,95,46,48,1,48.42,46.47,4414.83,-100.56
regime_x_scanner,FAVORABLE | short,128,52,75,1,40.62,23.39,2993.96,-100.63
regime_x_scanner,CHOP | momentum,41,19,22,0,46.34,39.01,1599.34,-100.39
regime_x_scanner,CHOP | abook,70,24,42,4,34.29,12.99,909.29,-100.07
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,HOSTILE | short,49,15,34,0,30.61,-8.25,-404.45,-100.68
regime_x_scanner,HOSTILE | abook,141,36,95,10,25.53,-15.39,-2170.36,-100.09
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
