ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
AAPL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,307.93,287.91,339.73,,4,1.59,FAVORABLE,307.93,MARKET,18,CONVICTION,2026-08-03,2026-08-03T04:35:06.955275
PTCT,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,68.01,61.6,78.0,,15,1.56,FAVORABLE,68.01,MARKET,20,CONVICTION,2026-08-03,2026-08-03T04:39:10.982445
MHK,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,123.1,112.7,129.25,,9,0.59,FAVORABLE,123.1,MARKET,8,CONVICTION,2026-08-03,2026-08-03T04:39:45.594589
AMKR,LONG,CONVICTION,97.2,BULL_BOUNCE_PENDING,49.5,44.78,56.8,,21,1.55,FAVORABLE,49.5,MARKET,20,CONVICTION,2026-08-03,2026-08-03T04:30:16.694132
GDDY,LONG,CONVICTION,95.9,BULL_BOUNCE_PENDING,82.89,78.75,91.87,93.0,24,2.17,FAVORABLE,82.89,MARKET,20,MINOR,2026-08-03,2026-08-03T04:39:42.497585
AMAT,LONG,CONVICTION,95.5,BULL_BOUNCE_PENDING,504.84,460.33,574.5,,2,1.57,FAVORABLE,504.84,MARKET,20,CONVICTION,2026-08-03,2026-08-03T04:35:48.319576
VEEE,LONG,CONVICTION,94.0,BULL_BOUNCE_PENDING,12.69,12.06,14.52,14.52,157,2.88,FAVORABLE,12.69,MARKET,20,VACUUM,2026-08-03,2026-08-03T04:29:29.674762
VRNS,LONG,CONVICTION,93.8,BULL_BOUNCE_PENDING,39.95,37.95,45.48,45.3,50,2.77,FAVORABLE,39.95,MARKET,18,COMPRESSION,2026-08-03,2026-08-03T04:28:33.915370
GH,LONG,CONVICTION,93.7,BULL_BOUNCE_PENDING,162.0,151.59,170.1,,9,0.78,FAVORABLE,162.0,MARKET,2,MINOR,2026-08-03,2026-08-03T04:28:28.951292
NKTR,LONG,CONVICTION,93.3,BULL_BOUNCE_PENDING,70.67,67.14,79.65,79.65,28,2.54,FAVORABLE,70.67,MARKET,20,CONVICTION,2026-08-03,2026-08-03T04:28:47.996981
TROW,LONG,CONVICTION,93.1,BULL_BOUNCE_PENDING,111.6,102.48,117.18,,10,0.61,FAVORABLE,111.6,MARKET,20,CONVICTION,2026-08-03,2026-08-03T04:39:57.498135
DFNS,LONG,CONVICTION,92.7,BULL_BOUNCE_PENDING,30.3,28.79,31.82,,66,1.0,FAVORABLE,30.3,MARKET,5,MINOR,2026-08-03,2026-08-03T04:28:04.927618
KYMR,LONG,CONVICTION,91.2,BULL_BOUNCE_PENDING,104.85,99.61,114.73,119.7,19,1.88,FAVORABLE,104.85,MARKET,20,VACUUM,2026-08-03,2026-08-03T04:29:01.633132
DOCN,LONG,CONVICTION,89.8,BULL_BOUNCE_PENDING,118.58,109.61,137.45,,11,2.1,FAVORABLE,121.0,LIMIT,20,MINOR,2026-08-03,2026-08-03T04:39:40.241442
AMD,LONG,CONVICTION,89.2,BULL_BOUNCE_PENDING,465.49,443.78,545.09,527.5,4,3.67,FAVORABLE,474.9911,LIMIT,20,MINOR,2026-08-03,2026-08-03T04:29:59.866400
ASTS,SHORT,CONVICTION,88.4,BEAR_REJECTION_PENDING,59.2,66.64,56.24,,13,0.4,FAVORABLE,58.95,LIMIT,20,CONVICTION,2026-08-03,2026-08-03T04:34:12.871888
CCC,LONG,CONVICTION,88.0,BULL_BOUNCE_CONFIRMED,6.09,5.13,6.39,,104,0.32,FAVORABLE,6.09,LIMIT,5,COMPRESSION,2026-08-03,2026-08-03T04:36:10.489257
RF,LONG,CONVICTION,87.2,BULL_BOUNCE_PENDING,31.11,30.16,32.6,,105,1.57,FAVORABLE,31.06,STOP,10,COMPRESSION,2026-08-03,2026-08-03T04:33:33.428844
VSAT,LONG,CONVICTION,87.0,BULL_BOUNCE_PENDING,74.87,70.77,81.51,87.16,24,1.62,FAVORABLE,76.394,LIMIT,19,VACUUM,2026-08-03,2026-08-03T04:27:53.568901
CMG,LONG,CONVICTION,86.8,BULL_BOUNCE_PENDING,38.49,36.18,40.41,,43,0.83,FAVORABLE,37.17,STOP,20,COMPRESSION,2026-08-03,2026-08-03T04:36:24.358803
SHOP,LONG,CONVICTION,86.8,BULL_BOUNCE_PENDING,122.37,113.18,128.49,,10,0.67,FAVORABLE,118.84,STOP,20,CONVICTION,2026-08-03,2026-08-03T04:37:40.067057
DXYZ,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,22.16,15.81,23.27,,15,0.17,FAVORABLE,22.61,LIMIT,20,COMPRESSION,2026-08-03,2026-08-03T04:39:13.654533
VCYT,LONG,CONVICTION,85.7,BULL_BOUNCE_PENDING,50.22,44.59,52.73,,17,0.45,FAVORABLE,46.0883,STOP,20,CONVICTION,2026-08-03,2026-08-03T04:28:59.058128
BHVN,LONG,CONVICTION,85.4,BULL_BOUNCE_PENDING,12.9,12.03,14.27,15.01,114,1.56,FAVORABLE,13.1675,LIMIT,20,COMPRESSION,2026-08-03,2026-08-03T04:28:30.856294
NBIS,LONG,CONVICTION,85.4,BULL_BOUNCE_PENDING,204.77,186.83,215.01,,5,0.57,FAVORABLE,190.75,STOP,20,MINOR,2026-08-03,2026-08-03T04:37:09.186019
ATAI,LONG,CONVICTION,85.0,BULL_BOUNCE_PENDING,7.22,6.81,7.58,,246,0.89,FAVORABLE,7.19,STOP,1,MINOR,2026-08-03,2026-08-03T04:36:19.203797
