dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,297,131,166,0,44.11,32.28,9588.33,-100.56
scanner,short,113,48,65,0,42.48,27.35,3090.55,-100.68
scanner,abook,310,97,187,26,31.29,5.95,1843.15,-100.64
scanner,intraday,136,11,61,64,8.09,-27.1,-3686.2,-100.0
gap_tier,PARABOLIC,110,50,59,1,45.45,37.14,4085.62,-100.56
gap_tier,EXTREME,67,34,32,1,50.75,52.47,3515.45,-100.46
gap_tier,IN_BAND,240,71,124,45,29.58,8.16,1959.34,-100.26
gap_tier,(none),310,97,187,26,31.29,5.95,1843.15,-100.64
gap_tier,STRETCHED,129,35,77,17,27.13,-4.4,-567.73,-100.68
regime,FAVORABLE,639,214,347,78,33.49,14.14,9038.25,-100.64
regime,CHOP,127,48,69,10,37.8,23.61,2998.13,-100.39
regime,HOSTILE,90,25,63,2,27.78,-13.34,-1200.55,-100.68
stop_method,FIXED,720,276,418,26,38.33,20.17,14522.03,-100.68
stop_method,PM low,66,8,11,47,12.12,8.68,573.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,2,1,1,0,50.0,49.95,99.9,-99.99
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,698,236,389,73,33.81,13.62,9505.93,-100.64
side,SHORT,158,51,90,17,32.28,8.42,1329.9,-100.68
setup,MOO_GENESIS,297,131,166,0,44.11,32.28,9588.33,-100.56
setup,SHORT_GENESIS_9_33,113,48,65,0,42.48,27.35,3090.55,-100.68
setup,MOO,310,97,187,26,31.29,5.95,1843.15,-100.64
setup,HOLDING-LONG,42,7,10,25,16.67,9.13,383.61,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,20,0,10,10,0.0,-46.18,-923.58,-100.0
setup,ORB-LONG,29,1,16,12,3.45,-47.78,-1385.58,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup_kind,SINGLE,673,219,393,61,32.54,8.06,5424.39,-100.68
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
cohort,MID,471,162,261,48,34.39,16.0,7536.28,-100.01
cohort,PENNY,385,125,218,42,32.47,8.57,3299.55,-100.68
conviction_band,(none),856,287,479,90,33.53,12.66,10835.83,-100.68
regime_x_scanner,FAVORABLE | momentum,222,98,124,0,44.14,32.39,7189.73,-100.46
regime_x_scanner,FAVORABLE | abook,198,67,111,20,33.84,15.31,3031.68,-100.64
regime_x_scanner,FAVORABLE | short,89,38,51,0,42.7,28.01,2492.5,-100.63
regime_x_scanner,CHOP | momentum,41,19,22,0,46.34,39.01,1599.34,-100.39
regime_x_scanner,CHOP | abook,70,24,42,4,34.29,12.99,909.29,-100.07
regime_x_scanner,HOSTILE | momentum,34,14,20,0,41.18,23.51,799.26,-100.56
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,HOSTILE | short,14,5,9,0,35.71,7.0,98.01,-100.68
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,HOSTILE | abook,42,6,34,2,14.29,-49.95,-2097.82,-100.0
regime_x_scanner,FAVORABLE | intraday,130,11,61,58,8.46,-28.27,-3675.66,-100.0
