system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,9821,827,2005,3414,3575,13.2,-150.93,-0.015,-1.5,61,2026-05-21,2026-08-31,NEUTRAL
FAM,score-band,90+,1087,53,208,644,182,5.9,-105.02,-0.097,-9.7,61,2026-05-21,2026-08-31,NEUTRAL
FAM,score-band,70-79,6396,389,1260,2993,1754,8.4,-740.81,-0.116,-11.6,61,2026-05-21,2026-08-31,AVOID
FAM,score-band,80-89,2713,168,534,1300,711,8.4,-325.23,-0.12,-12.0,61,2026-05-21,2026-08-31,AVOID
FAM,setup,CHANNEL_TOP_REJECT,8,4,0,0,4,100.0,6.0,0.75,75.0,6,2026-06-23,2026-07-27,TENTATIVE
FAM,setup,BULL_BOUNCE,1453,206,116,880,251,17.1,131.88,0.091,9.1,42,2026-05-21,2026-08-31,NEUTRAL
FAM,setup,BUY_LOWER_DIRTY,47,14,17,12,4,32.6,4.17,0.089,8.9,22,2026-05-28,2026-08-31,NEUTRAL
FAM,setup,CHANNEL_RECLAIM_LONG,135,19,34,78,4,14.5,-4.87,-0.036,-3.6,36,2026-05-22,2026-08-31,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,6594,387,1412,2319,2476,9.4,-243.27,-0.037,-3.7,61,2026-05-21,2026-08-31,NEUTRAL
FAM,setup,SHORT_UPPER_DIRTY,48,9,20,10,9,23.1,-3.55,-0.074,-7.4,24,2026-05-28,2026-08-31,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,1011,87,205,591,128,9.9,-93.98,-0.093,-9.3,42,2026-05-21,2026-08-31,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,10498,700,2051,4414,3333,9.8,-991.77,-0.094,-9.4,44,2026-05-21,2026-08-31,NEUTRAL
FAM,setup,CHANNEL_BREAKDOWN_SHORT,3,0,1,1,1,0.0,-0.46,-0.153,-15.3,3,2026-07-24,2026-08-24,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,16,0,8,7,1,0.0,-7.61,-0.476,-47.6,11,2026-05-27,2026-08-31,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,79,7,50,20,2,9.1,-40.41,-0.512,-51.2,24,2026-05-21,2026-08-28,AVOID
FAM,setup,DOUBLE_REJECTION_LONG,22,1,14,2,5,5.9,-12.61,-0.573,-57.3,14,2026-05-29,2026-08-28,AVOID
FAM,setup,CHANNEL_BREAKOUT,33,2,24,3,4,6.9,-20.37,-0.617,-61.7,19,2026-05-28,2026-08-31,AVOID
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FAM,setup,DCB_BREAKOUT,6,0,4,2,0,0.0,-4.0,-0.667,-66.7,5,2026-05-29,2026-08-25,TENTATIVE
FEM,mode,BOUNCE,522,197,51,224,50,41.7,211.0,0.404,40.4,77,2026-04-16,2026-08-31,TRUSTED
FEM,mode,PULLBACK,759,219,100,178,262,44.1,190.97,0.252,25.2,78,2026-04-01,2026-08-28,TRUSTED
FEM,mode,RESISTANCE,73,17,31,7,18,30.9,5.0,0.068,6.8,2,2026-04-01,2026-04-02,NEUTRAL
FEM,mode,BREAKOUT,84,17,12,47,8,22.4,-3.59,-0.043,-4.3,32,2026-04-07,2026-07-21,NEUTRAL
FEM,mode,FRESH_HOLD,19,4,12,1,2,23.5,-6.83,-0.359,-35.9,2,2026-04-01,2026-04-02,TENTATIVE
FEM,score-band,90+,898,412,27,233,226,61.3,523.51,0.583,58.3,82,2026-04-01,2026-08-31,TRUSTED
FEM,score-band,60-69,143,9,39,48,47,9.4,-22.89,-0.16,-16.0,47,2026-04-01,2026-08-25,AVOID
FEM,score-band,80-89,239,18,75,89,57,9.9,-51.93,-0.217,-21.7,53,2026-04-01,2026-08-31,AVOID
FEM,score-band,70-79,144,6,37,45,56,6.8,-35.87,-0.249,-24.9,55,2026-04-01,2026-08-28,AVOID
FEM,tier,T1-STRONG_LONG,745,264,28,226,227,51.0,372.68,0.5,50.0,77,2026-04-01,2026-08-31,TRUSTED
FEM,tier,T5-LOW,2,0,0,2,0,0.0,0.53,0.265,26.5,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T2-LONG,419,131,61,141,86,39.3,59.64,0.142,14.2,84,2026-04-01,2026-08-31,TRUSTED
FEM,tier,T3-SHORT,61,10,15,6,30,32.3,6.43,0.105,10.5,3,2026-04-01,2026-04-12,TRUSTED
FEM,tier,T2-SHORT,32,4,8,2,18,28.6,1.0,0.031,3.1,3,2026-04-01,2026-04-12,NEUTRAL
FEM,tier,T3-LONG_WATCH,285,42,86,85,72,19.7,-40.01,-0.14,-14.0,45,2026-04-01,2026-07-21,AVOID
FEM,tier,T4-LONG,38,0,7,0,31,0.0,-7.0,-0.184,-18.4,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T5-SHORT,21,3,10,1,7,21.4,-4.0,-0.19,-19.0,2,2026-04-01,2026-04-02,AVOID
FEM,tier,T3-WATCH,20,0,6,0,14,0.0,-6.0,-0.3,-30.0,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T2-STRONG,6,0,2,0,4,0.0,-2.0,-0.333,-33.3,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T1-CONVICTION,2,0,2,0,0,0.0,-2.0,-1.0,-100.0,1,2026-04-07,2026-04-07,TENTATIVE
