system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,13425,994,2961,4578,4892,11.6,-502.79,-0.037,-3.7,70,2026-05-21,2026-09-14,NEUTRAL
FAM,score-band,90+,1581,66,283,886,346,5.3,-142.58,-0.09,-9.0,70,2026-05-21,2026-09-14,NEUTRAL
FAM,score-band,70-79,8459,440,1689,3802,2528,7.4,-936.63,-0.111,-11.1,70,2026-05-21,2026-09-14,AVOID
FAM,score-band,80-89,3754,190,751,1731,1082,7.1,-421.69,-0.112,-11.2,70,2026-05-21,2026-09-14,AVOID
FAM,setup,CHANNEL_TOP_REJECT,19,8,5,0,6,61.5,7.0,0.368,36.8,12,2026-06-23,2026-09-14,TENTATIVE
FAM,setup,BULL_BOUNCE,1572,208,129,952,283,16.1,113.03,0.072,7.2,44,2026-05-21,2026-09-08,NEUTRAL
FAM,setup,BUY_LOWER_DIRTY,53,15,19,14,5,31.2,3.19,0.06,6.0,24,2026-05-28,2026-09-08,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,12340,589,2818,4320,4613,7.6,-707.64,-0.057,-5.7,70,2026-05-21,2026-09-14,NEUTRAL
FAM,setup,CHANNEL_RECLAIM_LONG,141,18,36,77,10,13.7,-8.66,-0.061,-6.1,38,2026-05-22,2026-09-08,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,11696,739,2269,4931,3757,9.3,-1159.98,-0.099,-9.9,46,2026-05-21,2026-09-08,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,1102,90,226,642,144,9.4,-115.57,-0.105,-10.5,44,2026-05-21,2026-09-08,AVOID
FAM,setup,SHORT_UPPER_DIRTY,57,11,25,10,11,23.9,-6.08,-0.107,-10.7,27,2026-05-28,2026-09-14,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,3,0,1,1,1,0.0,-0.46,-0.153,-15.3,3,2026-07-24,2026-08-24,TENTATIVE
FAM,setup,DCB_BREAKOUT,7,1,4,2,0,14.3,-2.5,-0.357,-35.7,6,2026-05-29,2026-09-04,TENTATIVE
FAM,setup,DOUBLE_REJECTION_LONG,24,1,14,3,6,5.6,-11.81,-0.492,-49.2,15,2026-05-29,2026-09-04,AVOID
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,25,0,13,8,4,0.0,-12.42,-0.497,-49.7,16,2026-05-27,2026-09-14,AVOID
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,81,7,51,21,2,8.9,-41.56,-0.513,-51.3,26,2026-05-21,2026-09-08,AVOID
FAM,setup,CHANNEL_BREAKOUT,35,2,23,4,6,6.9,-19.09,-0.545,-54.5,21,2026-05-28,2026-09-08,AVOID
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FEM,mode,BOUNCE,550,209,51,239,51,41.9,227.73,0.414,41.4,86,2026-04-16,2026-09-14,TRUSTED
FEM,mode,PULLBACK,767,224,100,180,263,44.4,196.94,0.257,25.7,83,2026-04-01,2026-09-09,TRUSTED
FEM,mode,RESISTANCE,73,17,31,7,18,30.9,5.0,0.068,6.8,2,2026-04-01,2026-04-02,NEUTRAL
FEM,mode,BREAKOUT,85,17,12,48,8,22.1,-3.59,-0.042,-4.2,33,2026-04-07,2026-09-14,NEUTRAL
FEM,mode,FRESH_HOLD,19,4,12,1,2,23.5,-6.83,-0.359,-35.9,2,2026-04-01,2026-04-02,TENTATIVE
FEM,score-band,90+,927,429,27,245,226,61.2,546.72,0.59,59.0,90,2026-04-01,2026-09-14,TRUSTED
FEM,score-band,60-69,143,9,39,48,47,9.4,-22.89,-0.16,-16.0,47,2026-04-01,2026-08-25,AVOID
FEM,score-band,80-89,241,18,75,91,57,9.8,-52.19,-0.217,-21.7,55,2026-04-01,2026-09-10,AVOID
FEM,score-band,70-79,148,6,37,48,57,6.6,-36.12,-0.244,-24.4,58,2026-04-01,2026-09-09,AVOID
FEM,tier,T1-STRONG_LONG,767,274,28,238,227,50.7,389.52,0.508,50.8,84,2026-04-01,2026-09-11,TRUSTED
FEM,tier,T5-LOW,2,0,0,2,0,0.0,0.53,0.265,26.5,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T2-LONG,433,138,61,146,88,40.0,65.5,0.151,15.1,92,2026-04-01,2026-09-14,TRUSTED
FEM,tier,T3-SHORT,61,10,15,6,30,32.3,6.43,0.105,10.5,3,2026-04-01,2026-04-12,TRUSTED
FEM,tier,T2-SHORT,32,4,8,2,18,28.6,1.0,0.031,3.1,3,2026-04-01,2026-04-12,NEUTRAL
FEM,tier,T3-LONG_WATCH,286,42,86,86,72,19.6,-40.01,-0.14,-14.0,46,2026-04-01,2026-09-14,AVOID
FEM,tier,T4-LONG,38,0,7,0,31,0.0,-7.0,-0.184,-18.4,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T5-SHORT,21,3,10,1,7,21.4,-4.0,-0.19,-19.0,2,2026-04-01,2026-04-02,AVOID
FEM,tier,T3-WATCH,20,0,6,0,14,0.0,-6.0,-0.3,-30.0,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T2-STRONG,6,0,2,0,4,0.0,-2.0,-0.333,-33.3,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T1-CONVICTION,2,0,2,0,0,0.0,-2.0,-1.0,-100.0,1,2026-04-07,2026-04-07,TENTATIVE
