system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,5268,593,1308,1745,1622,16.3,-28.72,-0.005,-0.5,46,2026-05-21,2026-08-10,NEUTRAL
FAM,score-band,80-89,1515,118,352,699,346,10.1,-171.78,-0.113,-11.3,46,2026-05-21,2026-08-10,AVOID
FAM,score-band,90+,658,33,162,356,107,6.0,-81.12,-0.123,-12.3,46,2026-05-21,2026-08-10,AVOID
FAM,score-band,70-79,3212,253,766,1392,801,10.5,-400.76,-0.125,-12.5,46,2026-05-21,2026-08-10,AVOID
FAM,setup,CHANNEL_TOP_REJECT,8,4,0,0,4,100.0,6.0,0.75,75.0,6,2026-06-23,2026-07-27,TENTATIVE
FAM,setup,BULL_BOUNCE,550,107,51,303,89,23.2,104.7,0.19,19.0,28,2026-05-21,2026-08-10,TRUSTED
FAM,setup,CHANNEL_RECLAIM_LONG,85,16,19,48,2,19.3,6.24,0.073,7.3,26,2026-05-22,2026-08-10,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,4324,315,1092,1453,1464,11.0,-226.42,-0.052,-5.2,46,2026-05-21,2026-08-10,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,529,56,100,308,65,12.1,-29.67,-0.056,-5.6,28,2026-05-21,2026-08-10,NEUTRAL
FAM,setup,SHORT_UPPER_DIRTY,17,5,9,1,2,33.3,-1.02,-0.06,-6.0,14,2026-05-28,2026-08-07,TENTATIVE
FAM,setup,BULL_BOUNCE_PENDING,4950,479,1183,2046,1242,12.9,-441.41,-0.089,-8.9,30,2026-05-21,2026-08-10,NEUTRAL
FAM,setup,BUY_LOWER_DIRTY,16,5,9,2,0,31.2,-1.82,-0.114,-11.4,13,2026-05-28,2026-08-10,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,64,7,41,14,2,11.3,-29.22,-0.457,-45.7,16,2026-05-21,2026-08-10,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,2,0,1,0,1,0.0,-1.0,-0.5,-50.0,2,2026-07-24,2026-07-27,TENTATIVE
FAM,setup,CHANNEL_BREAKOUT,24,2,17,2,3,9.5,-13.03,-0.543,-54.3,12,2026-05-28,2026-08-07,AVOID
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,6,0,4,2,0,0.0,-3.48,-0.58,-58.0,6,2026-05-27,2026-08-10,TENTATIVE
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FAM,setup,DOUBLE_REJECTION_LONG,10,0,7,1,2,0.0,-7.11,-0.711,-71.1,8,2026-05-29,2026-08-07,TENTATIVE
FAM,setup,DCB_BREAKOUT,4,0,4,0,0,0.0,-4.0,-1.0,-100.0,3,2026-05-29,2026-08-10,TENTATIVE
FEM,mode,BOUNCE,292,177,27,79,9,62.5,212.16,0.727,72.7,47,2026-05-13,2026-08-10,TRUSTED
FEM,mode,PULLBACK,323,194,51,54,24,64.9,198.23,0.614,61.4,46,2026-05-13,2026-08-10,TRUSTED
FEM,mode,BREAKOUT,36,17,4,13,2,50.0,12.97,0.36,36.0,19,2026-05-13,2026-07-21,TRUSTED
FEM,score-band,90+,409,377,0,32,0,92.2,502.37,1.228,122.8,46,2026-05-13,2026-08-10,TRUSTED
FEM,score-band,60-69,42,1,14,25,2,2.5,-14.92,-0.355,-35.5,27,2026-05-14,2026-08-10,AVOID
FEM,score-band,70-79,54,4,21,25,4,8.0,-20.84,-0.386,-38.6,31,2026-05-13,2026-08-10,AVOID
FEM,score-band,80-89,91,5,42,36,8,6.0,-38.47,-0.423,-42.3,30,2026-05-13,2026-08-06,AVOID
FEM,tier,T1-STRONG_LONG,300,242,13,39,6,82.3,351.4,1.171,117.1,44,2026-05-13,2026-08-10,TRUSTED
FEM,tier,T2-LONG,230,114,35,71,10,51.8,72.4,0.315,31.5,48,2026-05-13,2026-08-10,TRUSTED
FEM,tier,T3-LONG_WATCH,121,32,34,36,19,31.4,-0.44,-0.004,-0.4,25,2026-05-13,2026-07-21,NEUTRAL
