ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,last_px,high,low,volume,chg_pct,outcome,result_r,spy_regime,entry_type,n_gaps_above,gap_above_conviction,checked_at,scan_date
OVV,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,62.31,59.06,65.43,,30,0.96,63.02000045776367,63.56999969482422,62.630001068115234,3225100.0,1.14,NO_FILL,0.0,FAVORABLE,MARKET,19,COMPRESSION,2026-08-21_1725,2026-08-14
AVAH,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,11.15,10.59,11.71,,179,1.0,12.319999694824219,12.520000457763672,11.380000114440918,7334200.0,10.49,NO_FILL,0.0,FAVORABLE,MARKET,11,MINOR,2026-08-21_1725,2026-08-14
TBBB,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,48.33,45.91,50.75,,41,1.0,47.790000915527344,50.20000076293945,47.61000061035156,1594400.0,-1.12,CLOSED_LOSS,-0.22,FAVORABLE,MARKET,11,MINOR,2026-08-21_1725,2026-08-14
QNST,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,20.74,19.7,22.57,,96,1.76,20.5,20.889999389648438,20.420000076293945,639200.0,-1.16,CLOSED_LOSS,-0.23,FAVORABLE,MARKET,20,COMPRESSION,2026-08-21_1725,2026-08-14
PAYC,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,219.97,208.97,248.13,,9,2.56,218.1300048828125,224.82000732421875,216.4199981689453,545700.0,-0.84,CLOSED_LOSS,-0.17,FAVORABLE,MARKET,15,COMPRESSION,2026-08-21_1725,2026-08-14
FROG,LONG,CONVICTION,98.8,BULL_BOUNCE_PENDING,95.07,90.32,99.82,,21,1.0,96.16999816894531,98.47000122070312,94.58100128173828,2427800.0,1.16,CLOSED,0.23,FAVORABLE,MARKET,17,MINOR,2026-08-21_1725,2026-08-14
DHR,LONG,CONVICTION,97.7,BULL_BOUNCE_PENDING,205.63,194.01,229.0,235.02,8,2.01,202.4499969482422,203.9600067138672,201.1199951171875,2244400.0,-1.55,CLOSED_LOSS,-0.27,FAVORABLE,MARKET,20,CONVICTION,2026-08-21_1725,2026-08-14
ATI,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,227.0,215.65,238.35,,8,1.0,228.47999572753906,229.33999633789062,224.0,1225800.0,0.65,CLOSED,0.13,FAVORABLE,MARKET,20,MINOR,2026-08-21_1725,2026-08-14
CURI,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,3.98,3.78,4.18,,502,1.0,3.549999952316284,4.21999979019165,3.5199999809265137,3694400.0,-10.8,STOPPED,-1.0,FAVORABLE,MARKET,6,COMPRESSION,2026-08-21_1725,2026-08-14
FIGR,LONG,CONVICTION,95.7,BULL_BOUNCE_PENDING,31.92,30.53,35.59,35.23,71,2.63,31.43000030517578,33.150001525878906,30.584999084472656,4709900.0,-1.54,CLOSED_LOSS,-0.35,FAVORABLE,MARKET,20,COMPRESSION,2026-08-21_1725,2026-08-14
HLI,LONG,CONVICTION,95.3,BULL_BOUNCE_PENDING,132.21,121.75,150.37,,9,1.74,128.67999267578125,133.36000061035156,128.375,741200.0,-2.67,CLOSED_LOSS,-0.34,FAVORABLE,MARKET,20,CONVICTION,2026-08-21_1725,2026-08-14
BWET,LONG,CONVICTION,94.8,BULL_BOUNCE_CONFIRMED,370.0,355.21,388.5,,6,1.25,379.1199951171875,383.30499267578125,370.1099853515625,231500.0,2.46,NO_FILL,0.0,FAVORABLE,LIMIT,0,NONE,2026-08-21_1725,2026-08-14
HOOD,LONG,CONVICTION,93.4,BULL_BOUNCE_PENDING,99.13,90.26,113.46,,11,1.61,95.55999755859375,98.41899871826172,95.44000244140625,14044600.0,-3.6,CLOSED_LOSS,-0.4,FAVORABLE,MARKET,20,CONVICTION,2026-08-21_1725,2026-08-14
PLGO,LONG,CONVICTION,93.4,BULL_BOUNCE_PENDING,22.75,21.61,24.83,25.78,87,1.83,23.84000015258789,23.850000381469727,22.239999771118164,1059900.0,4.79,CLOSED,0.96,FAVORABLE,MARKET,20,COMPRESSION,2026-08-21_1725,2026-08-14
