date,picks,scored,wins,stops,closes,no_data,wr,pnl_day,pnl_cumulative,top7_picks,top7_wins,top7_stops,top7_wr,top7_pnl,top7_cum,b60_69_n,b60_69_wr,b60_69_pnl,b70_79_n,b70_79_wr,b70_79_pnl,b80_89_n,b80_89_wr,b80_89_pnl,b90p_n,b90p_wr,b90p_pnl
2026-06-25,304,198,30,57,111,106,15.2,4107.0,-17645.0,7,0,0,0.0,131.0,-3359.0,152,17.9,1679.0,78,20.5,1205.0,40,0.0,345.0,34,8.7,878.0
2026-06-26,109,94,6,42,46,15,6.4,-2637.0,-20282.0,7,0,0,0.0,-28.0,-3387.0,75,9.5,-1576.0,17,0.0,-529.0,12,0.0,-507.0,5,0.0,-25.0
2026-06-29,114,96,17,25,54,18,17.7,1093.0,-19189.0,7,0,3,0.0,-109.0,-3496.0,48,25.7,772.0,40,13.9,76.0,18,17.6,271.0,8,0.0,-26.0
2026-06-30,155,120,18,35,67,35,15.0,162.0,-19027.0,7,2,2,33.3,124.0,-3372.0,73,11.5,-34.0,52,20.9,412.0,20,6.2,-454.0,10,22.2,238.0
2026-07-01,160,126,13,46,67,34,10.3,-2757.0,-21784.0,7,0,2,0.0,-128.0,-3500.0,88,16.4,-308.0,50,5.1,-1444.0,16,0.0,-952.0,6,0.0,-53.0
2026-07-02,146,119,16,41,62,27,13.4,-1594.0,-23378.0,7,0,5,0.0,-534.0,-4034.0,67,8.0,-837.0,55,16.3,-686.0,18,26.7,363.0,6,0.0,-434.0
2026-07-08,115,73,6,31,36,42,8.2,-1597.0,-24975.0,7,0,0,0.0,-1.0,-4035.0,81,7.5,-1650.0,23,7.1,-158.0,8,25.0,261.0,3,0.0,-50.0
2026-07-09,217,134,20,23,91,83,14.9,884.0,-24091.0,7,1,1,20.0,81.0,-3954.0,127,16.4,501.0,64,12.0,398.0,23,20.0,-0.0,3,0.0,-15.0
2026-07-10,109,74,7,21,46,35,9.5,-1298.0,-25389.0,7,1,1,20.0,-43.0,-3997.0,68,12.2,-681.0,33,0.0,-689.0,7,20.0,100.0,1,0.0,-28.0
2026-07-22,250,153,19,73,61,97,12.4,-1654.0,-27043.0,7,0,1,0.0,-88.0,-4085.0,161,16.0,-1027.0,57,3.4,-702.0,19,8.3,219.0,13,0.0,-144.0
2026-07-23,257,127,17,42,68,130,13.4,1141.0,-25902.0,7,0,0,0.0,11.0,-4074.0,168,11.4,-37.0,58,17.2,700.0,22,25.0,467.0,9,0.0,11.0
2026-07-24,275,159,14,57,88,116,8.8,-1013.0,-26915.0,7,0,1,0.0,-76.0,-4150.0,167,11.7,-420.0,72,5.7,-36.0,25,0.0,-442.0,11,0.0,-115.0
2026-07-27,285,165,6,111,48,120,3.6,-9127.0,-36042.0,7,0,2,0.0,-244.0,-4394.0,169,5.9,-4919.0,76,0.0,-2582.0,27,0.0,-1187.0,13,0.0,-439.0
2026-07-28,225,147,9,59,79,78,6.1,-2526.0,-38568.0,7,0,0,0.0,-67.0,-4461.0,148,9.5,-1555.0,42,0.0,-294.0,23,0.0,-566.0,12,0.0,-111.0
2026-07-29,335,266,20,93,153,69,7.5,-8009.0,-46577.0,7,0,3,0.0,-388.0,-4849.0,156,7.6,-3983.0,110,6.6,-2171.0,47,13.5,-649.0,22,0.0,-1206.0
2026-07-30,231,158,3,86,69,73,1.9,-9129.0,-55706.0,7,1,1,20.0,-27.0,-4876.0,135,1.1,-5286.0,71,1.9,-3289.0,15,0.0,-534.0,10,16.7,-20.0
2026-07-31,264,182,14,59,109,82,7.7,-4402.0,-60108.0,7,0,0,0.0,-152.0,-5028.0,163,9.3,-2544.0,69,5.8,-1071.0,28,5.3,-631.0,4,0.0,-156.0
2026-08-03,281,182,20,44,118,99,11.0,1130.0,-58978.0,7,0,1,0.0,-63.0,-5091.0,145,13.0,1277.0,87,5.6,-385.0,36,18.5,510.0,13,0.0,-272.0
2026-08-04,282,136,19,26,91,146,14.0,1772.0,-57206.0,7,1,0,16.7,214.0,-4877.0,131,21.1,916.0,89,8.9,179.0,48,9.1,239.0,14,8.3,438.0
2026-08-05,297,197,19,47,131,100,9.6,-2290.0,-59496.0,7,0,1,0.0,-150.0,-5027.0,145,11.6,-974.0,100,13.0,-90.0,43,0.0,-1123.0,9,0.0,-103.0
2026-08-06,338,243,16,79,148,95,6.6,-6681.0,-66177.0,7,0,2,0.0,-282.0,-5309.0,155,11.2,-1325.0,113,3.4,-2584.0,60,4.2,-2299.0,10,0.0,-473.0
2026-08-07,358,225,24,64,137,133,10.7,-2156.0,-68333.0,7,2,2,28.6,148.0,-5161.0,167,15.7,-67.0,123,6.9,-1297.0,51,7.3,-1040.0,17,14.3,248.0
2026-08-10,453,323,27,75,221,130,8.4,-3337.0,-71670.0,7,0,0,0.0,68.0,-5093.0,185,9.4,-699.0,165,8.0,-2714.0,70,9.4,-216.0,33,3.6,292.0
2026-08-11,480,283,26,45,212,197,9.2,1179.0,-70491.0,7,1,1,14.3,240.0,-4853.0,215,11.0,1455.0,174,9.2,-117.0,71,6.7,-557.0,20,5.3,398.0
2026-08-12,500,316,39,48,229,184,12.3,1716.0,-68775.0,7,1,1,20.0,19.0,-4834.0,229,16.0,1703.0,176,9.9,81.0,71,10.0,-31.0,24,10.0,-37.0
2026-08-13,566,375,38,82,255,191,10.1,-869.0,-69644.0,7,1,1,20.0,71.0,-4763.0,263,10.5,18.0,202,9.9,-1143.0,74,9.4,359.0,27,11.8,-103.0
2026-08-14,616,405,35,73,297,211,8.6,-2475.0,-72119.0,7,0,0,0.0,-66.0,-4829.0,272,10.5,-16.0,222,9.2,-331.0,96,6.4,-1751.0,26,0.0,-377.0
2026-08-17,636,460,26,110,324,176,5.7,-9379.0,-81498.0,7,1,1,16.7,81.0,-4748.0,261,5.5,-2396.0,243,6.5,-3415.0,95,5.2,-3047.0,37,3.0,-521.0
2026-08-18,526,330,18,99,213,196,5.5,-5384.0,-86882.0,7,1,1,14.3,168.0,-4580.0,304,5.6,-1283.0,154,3.0,-3143.0,51,8.1,-995.0,17,12.5,37.0
2026-08-19,516,324,31,121,172,192,9.6,-7179.0,-94061.0,7,0,1,0.0,-114.0,-4694.0,300,12.3,-3200.0,151,5.8,-2919.0,49,8.3,-852.0,16,7.7,-208.0
2026-08-20,487,317,22,93,202,170,6.9,-6680.0,-100741.0,7,0,0,0.0,121.0,-4573.0,269,6.6,-3449.0,153,7.6,-2905.0,49,5.9,-675.0,16,9.1,349.0
2026-08-21,522,313,20,71,222,209,6.4,-2575.0,-103316.0,7,0,0,0.0,-30.0,-4603.0,294,8.5,354.0,169,4.5,-1528.0,45,0.0,-1446.0,14,11.1,45.0
2026-08-24,595,299,15,87,197,296,5.0,508.0,-102808.0,7,0,0,0.0,82.0,-4521.0,311,5.3,-871.0,150,3.6,359.0,87,5.4,391.0,47,7.7,629.0
2026-08-25,719,449,37,103,309,270,8.2,-3254.0,-106062.0,7,1,1,16.7,-57.0,-4578.0,354,12.0,795.0,245,4.7,-3153.0,84,7.7,-399.0,36,5.9,-497.0
2026-08-26,782,524,36,99,389,258,6.9,-3453.0,-109515.0,7,0,1,0.0,-128.0,-4706.0,366,7.8,492.0,285,5.9,-2562.0,97,10.3,-889.0,34,0.0,-494.0
2026-08-27,769,467,30,102,335,302,6.4,-5464.0,-114979.0,7,0,2,0.0,-328.0,-5034.0,372,9.1,-925.0,267,5.2,-3365.0,102,1.6,-930.0,28,8.0,-244.0
2026-08-28,804,571,34,190,347,233,6.0,-16989.0,-131968.0,7,0,2,0.0,-330.0,-5364.0,383,8.0,-7639.0,268,4.1,-5659.0,114,4.6,-2637.0,39,5.3,-1054.0
2026-08-31,846,587,33,108,446,259,5.6,-4172.0,-136140.0,7,1,0,14.3,143.0,-5221.0,360,8.0,1371.0,325,4.7,-3661.0,113,3.4,-1569.0,48,2.5,-313.0
2026-09-01,719,354,29,120,205,365,8.2,1980.0,-134160.0,7,1,0,25.0,244.0,-4977.0,407,9.1,1513.0,175,6.2,-190.0,100,7.0,417.0,37,9.1,240.0
2026-09-02,776,612,25,281,306,164,4.1,-17561.0,-151721.0,7,0,1,0.0,-189.0,-5166.0,412,6.4,-10923.0,220,1.7,-4255.0,109,1.2,-1970.0,35,0.0,-413.0
2026-09-03,750,549,35,233,281,201,6.4,-10514.0,-162235.0,7,1,2,16.7,81.0,-5085.0,386,7.6,-8081.0,209,6.8,-1185.0,100,0.0,-998.0,55,7.1,-250.0
2026-09-04,856,601,27,153,421,255,4.5,-11564.0,-173799.0,7,0,0,0.0,31.0,-5054.0,406,7.1,-2301.0,268,4.0,-4896.0,137,1.0,-4014.0,45,0.0,-353.0
2026-09-08,834,529,31,156,342,305,5.9,-12333.0,-186132.0,7,0,2,0.0,-284.0,-5338.0,402,7.0,-3729.0,268,2.8,-5570.0,137,8.4,-2696.0,27,7.7,-338.0
2026-09-09,794,352,34,91,227,442,9.7,7522.0,-178610.0,7,0,0,0.0,12.0,-5326.0,401,13.6,5257.0,226,5.4,1127.0,102,7.1,805.0,65,0.0,333.0
2026-09-10,817,363,30,108,225,454,8.3,4101.0,-174509.0,7,0,0,0.0,12.0,-5314.0,396,11.3,1338.0,242,5.1,1494.0,109,3.8,1092.0,70,7.4,177.0
2026-09-11,868,678,24,270,384,190,3.5,-12191.0,-186700.0,7,1,1,25.0,126.0,-5188.0,410,5.2,-6865.0,238,3.4,-1925.0,130,0.0,-1445.0,90,1.4,-1956.0
2026-09-14,788,541,33,229,279,247,6.1,-12771.0,-199471.0,7,0,2,0.0,-65.0,-5253.0,384,8.1,-6253.0,217,2.9,-4448.0,117,4.9,-873.0,70,6.1,-1197.0
2026-09-15,975,661,40,167,454,314,6.1,-8494.0,-207965.0,7,0,2,0.0,-85.0,-5338.0,434,8.1,-1225.0,345,4.7,-5545.0,161,4.5,-1117.0,35,3.3,-607.0
2026-09-16,951,653,39,175,439,298,6.0,-11538.0,-219503.0,7,0,0,0.0,-1.0,-5339.0,416,6.4,-4328.0,319,6.2,-4962.0,167,6.5,-1834.0,49,0.0,-414.0
2026-09-17,933,534,45,111,378,399,8.4,-2460.0,-221963.0,7,0,0,0.0,32.0,-5307.0,429,9.3,161.0,313,5.9,-1712.0,152,10.2,-1115.0,39,13.0,206.0
2026-09-18,936,641,27,188,426,295,4.2,-15970.0,-237933.0,7,0,1,0.0,-131.0,-5438.0,406,4.7,-5754.0,329,4.9,-5261.0,147,1.8,-3739.0,54,3.8,-1216.0
2026-09-21,1107,767,53,160,554,340,6.9,-5498.0,-243431.0,7,1,1,25.0,-6.0,-5444.0,452,12.8,1640.0,356,3.3,-3873.0,208,3.8,-3193.0,91,5.4,-72.0
2026-09-22,952,115,6,28,81,837,5.2,-1931.0,-245362.0,7,0,0,0.0,-6.0,-5450.0,414,9.4,48.0,315,4.5,-1283.0,171,0.0,-591.0,52,16.7,-105.0
2026-09-23,1078,807,26,277,504,271,3.2,-27488.0,-272850.0,7,0,3,0.0,-345.0,-5795.0,443,4.9,-8932.0,370,2.2,-10002.0,190,3.3,-5792.0,75,0.0,-2762.0
2026-09-24,765,432,31,130,271,333,7.2,-4899.0,-277749.0,7,0,1,0.0,-97.0,-5892.0,435,7.9,-172.0,233,7.4,-3385.0,81,4.3,-1101.0,16,0.0,-241.0
