ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
KYMR,LONG,CONVICTION,94.6,BULL_BOUNCE_PENDING,114.16,108.45,122.74,,17,1.5,FAVORABLE,114.16,MARKET,20,MINOR,2026-07-09,2026-07-09T07:45:03.869387
SYRE,LONG,CONVICTION,94.1,BULL_BOUNCE_PENDING,95.4,87.48,100.17,,12,0.6,FAVORABLE,95.4,MARKET,0,NONE,2026-07-09,2026-07-09T07:42:59.832240
EDBL,LONG,CONVICTION,92.3,BULL_BOUNCE_PENDING,0.14,0.13,0.14,,14556,1.0,FAVORABLE,0.1374,MARKET,6,MINOR,2026-07-09,2026-07-09T07:39:34.435416
AKTS,LONG,CONVICTION,89.0,BULL_BOUNCE_PENDING,28.08,24.46,29.48,,27,0.39,FAVORABLE,28.65,LIMIT,3,MINOR,2026-07-09,2026-07-09T07:45:27.636092
YOU,LONG,CONVICTION,88.9,BULL_BOUNCE_PENDING,55.62,51.92,61.46,,27,1.58,FAVORABLE,55.48,STOP,16,MINOR,2026-07-09,2026-07-09T07:43:02.653310
STRO,LONG,CONVICTION,88.9,BULL_BOUNCE_PENDING,32.74,28.72,34.38,,24,0.41,FAVORABLE,31.84,STOP,12,CONVICTION,2026-07-09,2026-07-09T07:46:34.201671
AGYS,LONG,CONVICTION,87.8,BULL_BOUNCE_PENDING,103.17,101.7,111.61,111.61,68,5.74,FAVORABLE,105.01,LIMIT,20,CONVICTION,2026-07-09,2026-07-09T07:47:21.943167
APLX,LONG,CONVICTION,87.2,BULL_BOUNCE_PENDING,15.0,13.63,17.59,,72,1.88,FAVORABLE,15.31,LIMIT,20,MINOR,2026-07-09,2026-07-09T08:14:22.343477
FCEL,LONG,CONVICTION,86.2,BULL_BOUNCE_PENDING,24.7,21.38,25.93,,30,0.37,FAVORABLE,25.2,LIMIT,6,COMPRESSION,2026-07-09,2026-07-09T07:44:58.791818
QCML,LONG,CONVICTION,86.2,BULL_BOUNCE_PENDING,21.95,19.92,23.05,,49,0.54,FAVORABLE,21.4874,STOP,20,COMPRESSION,2026-07-09,2026-07-09T08:14:12.027336
BLFS,LONG,CONVICTION,86.0,BULL_BOUNCE_PENDING,26.65,25.4,28.99,30.51,80,1.88,FAVORABLE,27.19,LIMIT,20,COMPRESSION,2026-07-09,2026-07-09T07:39:26.424457
