dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,315,143,171,1,45.4,36.52,11504.6,-100.56
scanner,short,123,49,74,0,39.84,19.44,2390.8,-100.68
scanner,abook,338,103,207,28,30.47,2.55,862.25,-100.64
scanner,intraday,136,11,61,64,8.09,-27.1,-3686.2,-100.0
gap_tier,PARABOLIC,121,57,63,1,47.11,42.03,5085.14,-100.56
gap_tier,EXTREME,72,36,34,2,50.0,51.84,3732.58,-100.46
gap_tier,IN_BAND,248,73,130,45,29.44,7.09,1759.31,-100.26
gap_tier,(none),338,103,207,28,30.47,2.55,862.25,-100.64
gap_tier,STRETCHED,133,37,79,17,27.82,-2.77,-367.83,-100.68
regime,FAVORABLE,639,214,347,78,33.49,14.14,9038.25,-100.64
regime,CHOP,127,48,69,10,37.8,23.61,2998.13,-100.39
regime,HOSTILE,146,44,97,5,30.14,-6.61,-964.93,-100.68
stop_method,FIXED,776,295,452,29,38.02,19.02,14757.65,-100.68
stop_method,PM low,66,8,11,47,12.12,8.68,573.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,2,1,1,0,50.0,49.95,99.9,-99.99
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,744,254,414,76,34.14,14.03,10441.3,-100.64
side,SHORT,168,52,99,17,30.95,3.75,630.15,-100.68
setup,MOO_GENESIS,315,143,171,1,45.4,36.52,11504.6,-100.56
setup,SHORT_GENESIS_9_33,123,49,74,0,39.84,19.44,2390.8,-100.68
setup,MOO,338,103,207,28,30.47,2.55,862.25,-100.64
setup,HOLDING-LONG,42,7,10,25,16.67,9.13,383.61,-99.98
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,20,0,10,10,0.0,-46.18,-923.58,-100.0
setup,ORB-LONG,29,1,16,12,3.45,-47.78,-1385.58,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup_kind,SINGLE,729,238,427,64,32.65,7.76,5660.01,-100.68
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
cohort,MID,495,168,276,51,33.94,14.29,7072.28,-100.01
cohort,PENNY,417,138,237,42,33.09,9.59,3999.17,-100.68
conviction_band,(none),912,306,513,93,33.55,12.14,11071.45,-100.68
regime_x_scanner,FAVORABLE | momentum,222,98,124,0,44.14,32.39,7189.73,-100.46
regime_x_scanner,FAVORABLE | abook,198,67,111,20,33.84,15.31,3031.68,-100.64
regime_x_scanner,HOSTILE | momentum,52,26,25,1,50.0,52.22,2715.53,-100.56
regime_x_scanner,FAVORABLE | short,89,38,51,0,42.7,28.01,2492.5,-100.63
regime_x_scanner,CHOP | momentum,41,19,22,0,46.34,39.01,1599.34,-100.39
regime_x_scanner,CHOP | abook,70,24,42,4,34.29,12.99,909.29,-100.07
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,HOSTILE | short,24,6,18,0,25.0,-25.07,-601.74,-100.68
regime_x_scanner,HOSTILE | abook,70,12,54,4,17.14,-43.98,-3078.72,-100.09
regime_x_scanner,FAVORABLE | intraday,130,11,61,58,8.46,-28.27,-3675.66,-100.0
