ticker,phase,score,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
CELH,ACTIVE_RECLAIM_WATCH,100.0,29.615,weekly,log_regression,AT_LOWER,0.034,6,22.74,24.085,daily,94.44,nearest_support_gap_hi,29.4797,True,True,100.27,100.27,4.14,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
ASTS,ACTIVE_RECLAIM_WATCH,100.0,81.395,weekly,log_regression,AT_LOWER,0.208,38,71.45,76.13,daily,95.83,nearest_support_gap_hi,81.3299,True,True,64.46,64.46,6.27,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
RKLB,ACTIVE_RECLAIM_WATCH,100.0,93.455,daily,log_regression,AT_LOWER,0.326,13,84.54,91.295,daily,93.33,nearest_support_gap_hi,93.005,True,True,61.57,61.57,2.74,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
SNXX,ACTIVE_RECLAIM_WATCH,100.0,32.78,daily,log_regression,AT_LOWER,0.322,8,25.19,26.2,daily,81.03,nearest_support_gap_hi,32.01,True,True,50.52,50.52,3.57,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
QUBT,ACTIVE_RECLAIM_WATCH,100.0,9.62,1h,log_regression,MID,0.372,21,7.27,7.595,daily,86.54,nearest_support_gap_hi,9.475,True,True,50.21,50.21,6.76,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
SPCX,ACTIVE_RECLAIM_WATCH,100.0,156.86,daily,log_regression,AT_UPPER,0.827,6,23.64,150.0,weekly,100.0,nearest_support_gap_hi,155.4,True,True,43.85,43.85,4.51,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
ERAS,ACTIVE_RECLAIM_WATCH,100.0,17.03,daily,log_regression,AT_LOWER,0.17,39,11.24,11.36,weekly,93.33,nearest_support_gap_hi,16.74,True,True,42.57,42.57,12.45,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
CIEN,ACTIVE_RECLAIM_WATCH,100.0,471.325,daily,log_regression,AT_LOWER,0.113,24,337.38,345.0,weekly,94.68,nearest_support_gap_hi,469.56,True,True,37.24,37.24,1.54,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback | overhead_gap_too_close
NOK,ACTIVE_RECLAIM_WATCH,100.0,12.8619,daily,log_regression,MID,0.45,28,10.46,10.73,weekly,100.0,nearest_support_gap_hi,12.77,True,True,35.67,35.67,0.22,GAPS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback | overhead_gap_too_close
AUR,ACTIVE_RECLAIM_WATCH,100.0,6.505,daily,log_regression,MID,0.49,17,6.36,6.47,weekly,100.0,nearest_support_gap_hi,6.47,True,True,31.67,31.67,0.15,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
