date,ticker,clock_hour,gap_above_size,gap_above_atr_mult,gap_above_conviction,gap_above_tick_width,gap_above_distance_pct,gap_below_size,gap_below_atr_mult,gap_below_conviction,gap_below_tick_width,gap_below_distance_pct,n_gaps_above,n_gaps_below,setup_fired,side,score,tier,spy_regime,atr_14_daily,obv_state
2026-09-21,CERT,6.0,0.1,0.29,MINOR,10,770.0,0.07,0.203,COMPRESSION,8,18.0,11,37,BULL_BOUNCE_PENDING,LONG,57.8,MARGINAL,FAVORABLE,0.3449,NEUTRAL
2026-09-21,VITL,6.0,0.39,0.758,MINOR,40,962.0,0.06,0.117,COMPRESSION,7,54.0,11,35,BULL_BOUNCE_PENDING,LONG,40.0,MARGINAL,FAVORABLE,0.5143,RISING
2026-09-21,DLXY,6.0,0.1227,0.255,MINOR,13,133.0,0.0001,0.0,MINOR,1,199.0,20,13,BEAR_REJECTION_PENDING,SHORT,55.5,MARGINAL,FAVORABLE,0.4807,RISING
2026-09-21,DOCN,6.0,6.75,0.679,CONVICTION,675,940.0,1.36,0.137,CONVICTION,137,980.0,11,59,BULL_BOUNCE_PENDING,LONG,58.0,MARGINAL,FAVORABLE,9.9389,FALLING
2026-09-21,NTAP,6.0,0.14,0.015,MINOR,15,69.0,2.19,0.239,CONVICTION,219,161.0,9,46,BULL_BOUNCE_PENDING,LONG,82.2,CONVICTION,FAVORABLE,9.1754,RISING
2026-09-21,USDE,6.0,0.0034,0.002,MINOR,1,182.0,2.67,1.64,CONVICTION,267,43.0,3,30,BULL_BOUNCE_PENDING,LONG,82.8,CONVICTION,FAVORABLE,1.6278,RISING
2026-09-21,FORM,6.0,4.77,0.738,CONVICTION,478,701.0,1.07,0.165,CONVICTION,108,113.0,32,99,BULL_BOUNCE_PENDING,LONG,80.2,CONVICTION,FAVORABLE,6.4653,RISING
2026-09-21,BNC,6.0,0.02,0.028,MINOR,2,1021.0,0.435,0.619,COMPRESSION,44,510.0,3,40,BULL_BOUNCE_PENDING,LONG,72.6,CONVICTION,FAVORABLE,0.7031,NEUTRAL
2026-09-21,MANE,6.0,1.43,0.284,CONVICTION,143,169.0,0.69,0.137,COMPRESSION,69,182.0,14,55,BEAR_REJECTION_PENDING,SHORT,52.0,MARGINAL,FAVORABLE,5.0422,NEUTRAL
2026-09-21,WIX,6.0,0.1776,0.033,COMPRESSION,18,397.0,1.22,0.227,CONVICTION,122,327.0,37,39,BULL_BOUNCE,LONG,63.0,CONVICTION,FAVORABLE,5.3718,NEUTRAL
2026-09-21,AMRC,6.0,0.94,0.784,COMPRESSION,95,10.0,0.3,0.25,COMPRESSION,31,137.0,16,29,BULL_BOUNCE_PENDING,LONG,66.9,CONVICTION,FAVORABLE,1.1996,FALLING
2026-09-21,AGRO,6.0,0.24,0.472,COMPRESSION,25,824.0,0.3,0.59,COMPRESSION,30,116.0,53,34,BULL_BOUNCE_PENDING,LONG,62.2,CONVICTION,FAVORABLE,0.5084,FALLING
2026-09-21,STRL,6.0,3.66,0.144,CONVICTION,366,156.0,23.05,0.91,CONVICTION,2306,323.0,32,62,BULL_BOUNCE_PENDING,LONG,42.5,MARGINAL,FAVORABLE,25.3424,RISING
2026-09-21,WS,6.0,0.57,0.439,COMPRESSION,58,91.0,1.83,1.408,CONVICTION,183,73.0,52,27,BULL_BOUNCE,LONG,72.1,CONVICTION,FAVORABLE,1.2997,RISING
2026-09-21,AOSL,6.0,0.38,0.34,COMPRESSION,38,70.0,0.33,0.296,COMPRESSION,33,1336.0,37,54,BULL_BOUNCE_CONFIRMED,LONG,73.1,CONVICTION,FAVORABLE,1.1166,RISING
2026-09-21,TCRT,6.0,0.01,0.075,COMPRESSION,2,1407.0,0.01,0.075,MINOR,2,570.0,8,19,BEAR_REJECTION_PENDING,SHORT,42.4,MARGINAL,FAVORABLE,0.134,FALLING
2026-09-21,SSM,6.0,0.08,0.101,COMPRESSION,9,1440.0,0.0091,0.011,MINOR,1,160.0,13,1,BULL_BOUNCE_PENDING,LONG,51.0,MARGINAL,FAVORABLE,0.7949,RISING
2026-09-21,IMCC,6.0,0.04,0.048,COMPRESSION,5,627.0,0.04,0.048,MINOR,5,303.0,13,5,BULL_BOUNCE_PENDING,LONG,77.1,CONVICTION,FAVORABLE,0.8395,RISING
2026-09-21,CTNT,6.0,0.0001,0.001,MINOR,1,928.0,0.0001,0.001,MINOR,1,543.0,2,1,BULL_BOUNCE_PENDING,LONG,78.0,CONVICTION,FAVORABLE,0.1751,RISING
2026-09-21,CPOP,6.0,0.0001,0.0,MINOR,1,283.0,0.255,0.343,COMPRESSION,26,348.0,9,32,BULL_BOUNCE_PENDING,LONG,93.1,CONVICTION,FAVORABLE,0.7436,RISING
2026-09-21,GIPR,6.0,0.0283,0.166,COMPRESSION,3,453.0,,,,,,8,0,BULL_BOUNCE,LONG,65.0,CONVICTION,FAVORABLE,0.1702,RISING
2026-09-21,AKAN,6.0,0.035,0.089,MINOR,4,116.0,0.18,0.459,COMPRESSION,18,429.0,12,13,BULL_BOUNCE,LONG,65.0,CONVICTION,FAVORABLE,0.3918,RISING
2026-09-21,SLXN,6.0,,,,,,0.0001,0.002,MINOR,1,1391.0,0,16,BULL_BOUNCE_PENDING,LONG,71.0,CONVICTION,FAVORABLE,0.0622,RISING
2026-09-21,ZTG,6.0,0.0001,0.0,MINOR,1,357.0,0.011,0.028,MINOR,2,862.0,3,12,BULL_BOUNCE_PENDING,LONG,57.8,MARGINAL,FAVORABLE,0.3965,RISING
2026-09-21,BMNR,6.0,1.02,0.529,CONVICTION,102,106.0,0.94,0.487,COMPRESSION,94,958.0,8,35,BEAR_REJECTION_PENDING,SHORT,67.9,CONVICTION,FAVORABLE,1.9289,NEUTRAL
2026-09-21,INTC,6.0,1.32,0.202,CONVICTION,132,256.0,7.93,1.212,CONVICTION,794,590.0,6,40,BULL_BOUNCE_PENDING,LONG,91.0,CONVICTION,FAVORABLE,6.542,RISING
2026-09-21,NVDA,6.0,3.43,0.571,VACUUM,344,358.0,0.665,0.111,COMPRESSION,67,90.0,12,54,BULL_BOUNCE_PENDING,LONG,73.0,CONVICTION,FAVORABLE,6.01,RISING
2026-09-21,GPUS,6.0,0.0,0.002,MINOR,1,54.0,0.0008,0.039,COMPRESSION,1,108.0,7,10,CHANNEL_RECLAIM_LONG,LONG,49.0,MARGINAL,FAVORABLE,0.0203,RISING
2026-09-21,ADBT,6.0,0.0005,0.001,MINOR,1,113.0,0.0011,0.003,MINOR,1,1429.0,13,6,BULL_BOUNCE_PENDING,LONG,44.0,MARGINAL,FAVORABLE,0.3727,
2026-09-21,BTCT,6.0,0.0058,0.023,MINOR,1,393.0,0.12,0.481,COMPRESSION,12,105.0,2,10,BULL_BOUNCE,LONG,71.2,CONVICTION,FAVORABLE,0.2493,NEUTRAL
2026-09-21,RETO,6.0,0.0072,0.004,COMPRESSION,1,1112.0,0.0001,0.0,MINOR,1,479.0,6,6,BEAR_REJECTION_PENDING,SHORT,50.5,MARGINAL,FAVORABLE,1.9183,FALLING
2026-09-21,DVLT,6.0,0.0048,0.183,COMPRESSION,1,1455.0,0.0004,0.015,MINOR,1,399.0,3,10,BULL_BOUNCE_PENDING,LONG,58.0,MARGINAL,FAVORABLE,0.0262,FALLING
2026-09-21,AMZE,6.0,0.0025,0.134,COMPRESSION,1,741.0,0.0029,0.156,MINOR,1,673.0,5,8,BULL_BOUNCE_PENDING,LONG,51.0,MARGINAL,FAVORABLE,0.0186,RISING
2026-09-21,BTTC,6.0,0.0,0.001,MINOR,1,245.0,,,,,,2,0,BEAR_REJECTION_PENDING,SHORT,22.0,MARGINAL,FAVORABLE,0.0724,RISING
2026-09-21,DCX,6.0,0.0001,0.001,MINOR,1,382.0,,,,,,4,0,BEAR_REJECTION_PENDING,SHORT,50.0,MARGINAL,FAVORABLE,0.1368,FALLING
2026-09-21,PAAI,6.0,0.14,0.308,COMPRESSION,14,226.0,0.0002,0.0,MINOR,1,73.0,6,7,BULL_BOUNCE_PENDING,LONG,57.9,MARGINAL,FAVORABLE,0.4552,
2026-09-21,SDST,6.0,0.0059,0.109,COMPRESSION,1,977.0,0.0001,0.002,MINOR,1,544.0,2,2,BULL_BOUNCE_PENDING,LONG,60.0,CONVICTION,FAVORABLE,0.0539,RISING
2026-09-21,TENB,6.0,0.0495,0.02,MINOR,5,65.0,0.16,0.066,COMPRESSION,17,110.0,18,32,BULL_BOUNCE_PENDING,LONG,56.2,MARGINAL,FAVORABLE,2.4295,NEUTRAL
2026-09-21,TJGC,6.0,0.07,0.048,COMPRESSION,8,953.0,0.095,0.065,MINOR,10,1112.0,18,8,BULL_BOUNCE_PENDING,LONG,72.3,CONVICTION,FAVORABLE,1.4646,NEUTRAL
2026-09-21,ILMN,6.0,0.075,0.007,MINOR,8,96.0,1.86,0.181,CONVICTION,186,109.0,7,90,BULL_BOUNCE_PENDING,LONG,90.0,CONVICTION,FAVORABLE,10.2832,FALLING
2026-09-21,LIFE,6.0,0.13,0.049,COMPRESSION,13,902.0,0.6,0.228,MINOR,60,190.0,15,7,BULL_BOUNCE_PENDING,LONG,66.3,CONVICTION,FAVORABLE,2.6271,FALLING
2026-09-21,BBNX,6.0,7.68,4.821,CONVICTION,768,393.0,0.3,0.188,MINOR,31,270.0,9,19,BULL_BOUNCE_PENDING,LONG,52.0,MARGINAL,FAVORABLE,1.5931,RISING
2026-09-21,FIVN,6.0,,,,,,0.53,0.283,COMPRESSION,54,574.0,0,56,BULL_BOUNCE_PENDING,LONG,88.5,CONVICTION,FAVORABLE,1.8751,RISING
2026-09-21,DK,6.0,0.55,0.126,COMPRESSION,56,102.0,3.67,0.839,CONVICTION,368,118.0,26,29,BEAR_REJECTION_PENDING,SHORT,54.8,MARGINAL,FAVORABLE,4.3766,NEUTRAL
2026-09-21,HNST,6.0,0.105,0.47,COMPRESSION,11,672.0,0.055,0.246,COMPRESSION,6,57.0,45,18,BULL_BOUNCE,LONG,67.6,CONVICTION,FAVORABLE,0.2234,NEUTRAL
2026-09-21,VIR,6.0,0.065,0.126,COMPRESSION,7,551.0,0.035,0.068,COMPRESSION,4,23.0,16,46,BULL_BOUNCE_PENDING,LONG,57.8,MARGINAL,FAVORABLE,0.5171,NEUTRAL
2026-09-21,AMLX,6.0,0.05,0.032,MINOR,6,976.0,7.95,5.057,CONVICTION,795,737.0,22,14,BULL_BOUNCE_PENDING,LONG,55.4,MARGINAL,FAVORABLE,1.5721,NEUTRAL
2026-09-21,GH,6.0,1.3,0.151,VACUUM,131,249.0,9.64,1.12,CONVICTION,965,782.0,44,52,BULL_BOUNCE_PENDING,LONG,65.0,CONVICTION,FAVORABLE,8.6073,NEUTRAL
2026-09-21,PS,6.0,0.3,0.081,MINOR,30,561.0,0.09,0.024,COMPRESSION,10,1028.0,17,41,BULL_BOUNCE_PENDING,LONG,67.1,CONVICTION,FAVORABLE,3.6858,RISING
2026-09-21,GRAL,6.0,0.89,0.155,MINOR,90,29.0,12.97,2.266,CONVICTION,1297,1336.0,1,14,BULL_BOUNCE_PENDING,LONG,69.0,CONVICTION,FAVORABLE,5.7235,RISING
2026-09-21,FROG,6.0,0.95,0.182,MINOR,96,415.0,0.105,0.02,COMPRESSION,11,70.0,34,18,CHANNEL_RECLAIM_LONG,LONG,61.0,CONVICTION,FAVORABLE,5.2188,RISING
2026-09-21,AUGO,6.0,1.98,0.433,CONVICTION,199,900.0,0.98,0.214,COMPRESSION,99,1251.0,16,45,BULL_BOUNCE_PENDING,LONG,53.0,MARGINAL,FAVORABLE,4.5736,NEUTRAL
2026-09-21,STIM,6.0,0.02,0.094,COMPRESSION,3,88.0,0.395,1.85,COMPRESSION,40,420.0,31,19,BEAR_REJECTION_PENDING,SHORT,64.0,CONVICTION,FAVORABLE,0.2135,FALLING
2026-09-21,QMCO,6.0,3.17,1.84,CONVICTION,318,1299.0,0.84,0.487,COMPRESSION,84,35.0,8,57,BULL_BOUNCE_PENDING,LONG,70.4,CONVICTION,FAVORABLE,1.7231,NEUTRAL
2026-09-21,SGMT,6.0,0.05,0.089,MINOR,6,275.0,0.18,0.319,MINOR,18,193.0,21,26,BULL_BOUNCE,LONG,68.0,CONVICTION,FAVORABLE,0.5642,NEUTRAL
2026-09-21,SENS,6.0,0.14,0.269,COMPRESSION,15,252.0,0.13,0.25,COMPRESSION,13,347.0,20,34,BULL_BOUNCE_PENDING,LONG,82.0,CONVICTION,FAVORABLE,0.5196,RISING
2026-09-21,CVI,6.0,0.05,0.019,MINOR,6,17.0,0.59,0.23,COMPRESSION,60,709.0,5,35,BULL_BOUNCE_PENDING,LONG,73.5,CONVICTION,FAVORABLE,2.5645,RISING
2026-09-21,ANF,6.0,2.07,0.357,CONVICTION,207,404.0,19.2,3.311,CONVICTION,1921,452.0,60,30,BULL_BOUNCE_PENDING,LONG,51.9,MARGINAL,FAVORABLE,5.7983,NEUTRAL
2026-09-21,OMER,6.0,,,,,,2.94,3.664,VACUUM,294,917.0,0,2,BULL_BOUNCE_PENDING,LONG,62.0,CONVICTION,FAVORABLE,0.8025,FALLING
2026-09-21,PURR,6.0,0.002,0.002,MINOR,1,233.0,0.99,0.809,CONVICTION,100,40.0,5,21,BULL_BOUNCE_PENDING,LONG,84.5,CONVICTION,FAVORABLE,1.2243,RISING
2026-09-21,CGEM,6.0,0.19,0.194,COMPRESSION,19,289.0,0.48,0.49,MINOR,49,1101.0,31,30,BULL_BOUNCE_PENDING,LONG,61.5,CONVICTION,FAVORABLE,0.9804,FALLING
2026-09-21,EFOR,6.0,0.025,0.014,MINOR,3,40.0,0.67,0.381,COMPRESSION,67,1087.0,32,65,BULL_BOUNCE_PENDING,LONG,66.2,CONVICTION,FAVORABLE,1.7573,NEUTRAL
2026-09-21,QLYS,6.0,0.79,0.076,MINOR,79,600.0,0.67,0.064,COMPRESSION,67,223.0,35,48,BEAR_REJECTION_PENDING,SHORT,47.9,MARGINAL,FAVORABLE,10.3891,FALLING
2026-09-21,OOMA,6.0,0.125,0.145,COMPRESSION,13,74.0,0.9328,1.081,MINOR,94,39.0,33,29,BUY_LOWER_DIRTY,LONG,62.4,CONVICTION,FAVORABLE,0.8628,FALLING
2026-09-21,APPN,6.0,0.74,0.356,COMPRESSION,75,508.0,0.23,0.111,COMPRESSION,23,103.0,29,41,BULL_BOUNCE_PENDING,LONG,52.0,MARGINAL,FAVORABLE,2.0758,NEUTRAL
2026-09-21,INSP,6.0,1.25,0.336,VACUUM,125,52.0,1.76,0.473,CONVICTION,176,818.0,18,28,BEAR_REJECTION_PENDING,SHORT,66.7,CONVICTION,FAVORABLE,3.7213,RISING
2026-09-21,BLLN,6.0,36.91,7.059,CONVICTION,3691,11.0,0.92,0.176,COMPRESSION,93,314.0,15,68,BEAR_REJECTION_PENDING,SHORT,73.0,CONVICTION,FAVORABLE,5.229,NEUTRAL
2026-09-21,CRCL,6.0,3.09,0.422,CONVICTION,310,821.0,1.915,0.262,CONVICTION,192,14.0,17,68,BULL_BOUNCE_PENDING,LONG,82.5,CONVICTION,FAVORABLE,7.3162,FALLING
2026-09-21,ZBIO,6.0,0.125,0.086,MINOR,13,66.0,0.12,0.083,COMPRESSION,13,333.0,13,26,BULL_BOUNCE_PENDING,LONG,50.0,MARGINAL,FAVORABLE,1.4489,NEUTRAL
2026-09-21,NCI,6.0,0.035,0.043,MINOR,4,213.0,0.07,0.086,COMPRESSION,8,184.0,34,18,BULL_BOUNCE_PENDING,LONG,65.8,CONVICTION,FAVORABLE,0.8164,RISING
2026-09-21,HOOD,6.0,3.485,0.475,CONVICTION,349,646.0,3.24,0.441,CONVICTION,325,843.0,4,46,BEAR_REJECTION_PENDING,SHORT,73.3,CONVICTION,FAVORABLE,7.3415,FALLING
2026-09-21,SMCI,6.0,0.235,0.097,COMPRESSION,24,996.0,1.54,0.635,CONVICTION,154,72.0,8,44,BULL_BOUNCE_PENDING,LONG,89.9,CONVICTION,FAVORABLE,2.4271,NEUTRAL
2026-09-21,FTH,6.0,0.165,0.046,MINOR,17,151.0,0.72,0.202,COMPRESSION,72,799.0,11,9,BULL_BOUNCE_PENDING,LONG,52.0,MARGINAL,FAVORABLE,3.5574,FALLING
2026-09-21,SMWB,6.0,0.36,0.788,MINOR,37,349.0,0.58,1.27,COMPRESSION,59,385.0,25,23,BULL_BOUNCE_PENDING,LONG,55.0,MARGINAL,FAVORABLE,0.4566,NEUTRAL
2026-09-21,CSTL,6.0,0.09,0.061,COMPRESSION,9,1001.0,0.2,0.136,COMPRESSION,21,474.0,35,70,BULL_BOUNCE_PENDING,LONG,76.0,CONVICTION,FAVORABLE,1.4725,NEUTRAL
2026-09-21,PI,6.0,7.26,0.868,CONVICTION,726,463.0,2.42,0.289,CONVICTION,243,7.0,3,80,BULL_BOUNCE_PENDING,LONG,52.0,MARGINAL,FAVORABLE,8.3655,RISING
2026-09-21,MARA,6.0,0.0078,0.009,MINOR,1,152.0,0.475,0.555,COMPRESSION,48,1016.0,7,35,BUY_LOWER_DIRTY,LONG,40.1,MARGINAL,FAVORABLE,0.8559,FALLING
2026-09-21,MRVL,6.0,2.55,0.199,CONVICTION,256,575.0,7.15,0.559,CONVICTION,716,135.0,4,67,BULL_BOUNCE_PENDING,LONG,88.5,CONVICTION,FAVORABLE,12.7946,NEUTRAL
