system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,4916,569,1248,1623,1476,16.5,-20.27,-0.004,-0.4,44,2026-05-21,2026-08-06,NEUTRAL
FAM,score-band,80-89,1394,110,331,632,321,10.3,-157.95,-0.113,-11.3,44,2026-05-21,2026-08-06,AVOID
FAM,score-band,70-79,2924,236,709,1250,729,10.8,-359.98,-0.123,-12.3,44,2026-05-21,2026-08-06,AVOID
FAM,score-band,90+,608,30,156,323,99,5.9,-86.52,-0.142,-14.2,44,2026-05-21,2026-08-06,AVOID
FAM,setup,CHANNEL_TOP_REJECT,8,4,0,0,4,100.0,6.0,0.75,75.0,6,2026-06-23,2026-07-27,TENTATIVE
FAM,setup,BULL_BOUNCE,472,95,49,262,66,23.4,86.72,0.184,18.4,26,2026-05-21,2026-08-06,TRUSTED
FAM,setup,CHANNEL_RECLAIM_LONG,74,14,17,41,2,19.4,5.96,0.081,8.1,24,2026-05-22,2026-08-06,NEUTRAL
FAM,setup,SHORT_UPPER_DIRTY,16,5,8,1,2,35.7,-0.02,-0.001,-0.1,13,2026-05-28,2026-08-06,TENTATIVE
FAM,setup,BULL_BOUNCE_CONFIRMED,434,49,81,258,46,12.6,-16.49,-0.038,-3.8,26,2026-05-21,2026-08-06,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,4242,312,1080,1421,1429,11.1,-217.43,-0.051,-5.1,44,2026-05-21,2026-08-06,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,4417,452,1084,1813,1068,13.5,-396.39,-0.09,-9.0,28,2026-05-21,2026-08-06,NEUTRAL
FAM,setup,BUY_LOWER_DIRTY,13,4,7,2,0,30.8,-1.32,-0.102,-10.2,11,2026-05-28,2026-08-04,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,63,7,40,14,2,11.5,-28.22,-0.448,-44.8,15,2026-05-21,2026-08-04,AVOID
FAM,setup,CHANNEL_BREAKOUT,21,2,14,2,3,11.1,-10.03,-0.478,-47.8,11,2026-05-28,2026-08-06,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,2,0,1,0,1,0.0,-1.0,-0.5,-50.0,2,2026-07-24,2026-07-27,TENTATIVE
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,5,0,4,1,0,0.0,-3.25,-0.65,-65.0,5,2026-05-27,2026-07-31,TENTATIVE
FAM,setup,DOUBLE_REJECTION_LONG,9,0,6,1,2,0.0,-6.11,-0.679,-67.9,7,2026-05-29,2026-07-31,TENTATIVE
FAM,setup,DCB_BREAKOUT,2,0,2,0,0,0.0,-2.0,-1.0,-100.0,2,2026-05-29,2026-06-22,TENTATIVE
FEM,mode,BOUNCE,468,176,48,194,50,42.1,175.76,0.376,37.6,61,2026-04-16,2026-08-06,TRUSTED
FEM,mode,PULLBACK,736,205,97,174,260,43.1,173.73,0.236,23.6,65,2026-04-01,2026-08-06,TRUSTED
FEM,mode,RESISTANCE,73,17,31,7,18,30.9,5.0,0.068,6.8,2,2026-04-01,2026-04-02,NEUTRAL
FEM,mode,BREAKOUT,84,17,12,47,8,22.4,-3.59,-0.043,-4.3,32,2026-04-07,2026-07-21,NEUTRAL
FEM,mode,FRESH_HOLD,19,4,12,1,2,23.5,-6.83,-0.359,-35.9,2,2026-04-01,2026-04-02,TENTATIVE
FEM,score-band,90+,846,379,27,214,226,61.1,467.37,0.552,55.2,65,2026-04-01,2026-08-06,TRUSTED
FEM,score-band,60-69,137,8,37,45,47,8.9,-23.22,-0.169,-16.9,43,2026-04-01,2026-07-31,AVOID
FEM,score-band,80-89,231,18,74,82,57,10.3,-50.44,-0.218,-21.8,48,2026-04-01,2026-08-06,AVOID
FEM,score-band,70-79,136,5,34,43,54,6.1,-33.99,-0.25,-25.0,48,2026-04-01,2026-08-05,AVOID
FEM,tier,T1-STRONG_LONG,703,241,27,209,226,50.5,332.4,0.473,47.3,63,2026-04-01,2026-08-06,TRUSTED
FEM,tier,T5-LOW,2,0,0,2,0,0.0,0.53,0.265,26.5,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T2-LONG,384,119,56,124,85,39.8,47.44,0.124,12.4,67,2026-04-01,2026-08-06,TRUSTED
FEM,tier,T3-SHORT,61,10,15,6,30,32.3,6.43,0.105,10.5,3,2026-04-01,2026-04-12,TRUSTED
FEM,tier,T2-SHORT,32,4,8,2,18,28.6,1.0,0.031,3.1,3,2026-04-01,2026-04-12,NEUTRAL
FEM,tier,T3-LONG_WATCH,285,42,86,85,72,19.7,-40.01,-0.14,-14.0,45,2026-04-01,2026-07-21,AVOID
FEM,tier,T4-LONG,38,0,7,0,31,0.0,-7.0,-0.184,-18.4,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T5-SHORT,21,3,10,1,7,21.4,-4.0,-0.19,-19.0,2,2026-04-01,2026-04-02,AVOID
FEM,tier,T3-WATCH,20,0,6,0,14,0.0,-6.0,-0.3,-30.0,1,2026-04-07,2026-04-07,AVOID
FEM,tier,T2-STRONG,6,0,2,0,4,0.0,-2.0,-0.333,-33.3,1,2026-04-07,2026-04-07,TENTATIVE
FEM,tier,T1-CONVICTION,2,0,2,0,0,0.0,-2.0,-1.0,-100.0,1,2026-04-07,2026-04-07,TENTATIVE
