ticker,phase,score,price,channel_tf,channel_method,channel_position,channel_position_ratio,support_stack_depth,parent_gap_lo,parent_gap_hi,parent_gap_tf,parent_genesis_rank_pct,reclaim_source,reclaim_level,recent_tagged,reclaimed,pullback_pct,room_to_recent_high_pct,next_resistance_gap_pct,gap_options_agreement,reasons,flags
CBRS,ACTIVE_RECLAIM_WATCH,100.0,206.18,15m,log_regression,AT_UPPER,1.001,8,181.59,184.0,daily,100.0,upper,206.16,True,True,87.38,87.38,7.32,OPTIONS_MISSING,ascending channel/control | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of upper | room back to recent high,deep_damage_pullback
GDX,ACTIVE_RECLAIM_WATCH,100.0,75.74,weekly,log_regression,AT_LOWER,0.07,15,63.17,64.39,weekly,96.77,nearest_support_gap_hi,74.37,True,True,54.71,54.71,0.51,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback | overhead_gap_too_close
AEO,ACTIVE_RECLAIM_WATCH,100.0,17.07,daily,log_regression,AT_LOWER,0.167,7,10.74,11.41,daily,97.3,nearest_support_gap_hi,16.49,True,True,52.14,52.14,2.55,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
QUBT,ACTIVE_RECLAIM_WATCH,100.0,9.665,1h,log_regression,MID,0.384,5,7.27,7.595,daily,86.54,nearest_support_gap_hi,9.345,True,True,49.51,49.51,6.26,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback
ERAS,ACTIVE_RECLAIM_WATCH,100.0,17.065,daily,log_regression,AT_LOWER,0.172,18,11.24,11.36,weekly,93.65,nearest_support_gap_hi,14.94,True,True,42.28,42.28,0.85,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,deep_damage_pullback | overhead_gap_too_close
ARM,ACTIVE_RECLAIM_WATCH,100.0,337.36,daily,log_regression,MID,0.339,6,256.73,266.895,daily,98.72,nearest_support_gap_hi,336.25,True,True,34.19,34.19,0.34,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
AUR,ACTIVE_RECLAIM_WATCH,100.0,6.495,daily,log_regression,MID,0.487,8,6.36,6.47,weekly,100.0,nearest_support_gap_hi,6.47,True,True,31.87,31.87,0.31,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
XOM,ACTIVE_RECLAIM_WATCH,100.0,135.9825,daily,log_regression,AT_LOWER,0.069,18,129.89,131.51,weekly,96.88,nearest_support_gap_hi,134.97,True,True,29.73,29.73,0.59,OPTIONS_NOT_CHECKED,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
CRDO,ACTIVE_RECLAIM_WATCH,100.0,240.36,weekly,log_regression,MID,0.583,15,208.12,217.185,daily,93.85,nearest_support_gap_hi,233.92,True,True,28.42,28.42,0.07,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
SSRM,ACTIVE_RECLAIM_WATCH,100.0,28.52,weekly,log_regression,AT_LOWER,0.123,11,22.01,22.75,weekly,97.59,nearest_support_gap_hi,27.39,True,True,28.03,28.03,0.14,OPTIONS_MISSING,ascending channel/control | higher-timeframe channel participates | inside/near channel rails | deep bullish shelf stack underneath | high-genesis parent shelf | recent tag/reclaim of nearest_support_gap_hi | room back to recent high,overhead_gap_too_close
