dimension,value,n,wins,stops,closes,wr_pct,avg_pnl,total_pnl,max_loss
scanner,momentum,557,234,320,3,42.01,26.62,14828.31,-100.56
scanner,short,214,83,130,1,38.79,17.21,3682.5,-100.68
scanner,abook,747,217,451,79,29.05,0.52,391.56,-102.19
scanner,intraday,150,14,65,71,9.33,-23.09,-3463.14,-100.0
gap_tier,PARABOLIC,220,94,125,1,42.73,28.56,6282.22,-100.56
gap_tier,EXTREME,128,59,65,4,46.09,40.71,5210.49,-100.55
gap_tier,IN_BAND,415,137,226,52,33.01,12.29,5102.19,-102.19
gap_tier,(none),592,177,359,56,29.9,1.8,1065.89,-100.64
gap_tier,NONE,116,28,66,22,24.14,-3.91,-454.13,-100.95
gap_tier,STRETCHED,197,53,125,19,26.9,-8.97,-1767.43,-100.68
regime,FAVORABLE,1143,368,642,133,32.2,10.0,11425.88,-100.95
regime,CHOP,147,55,82,10,37.41,21.08,3098.83,-100.39
regime,HOSTILE,375,125,239,11,33.33,3.24,1214.27,-102.19
regime,UNKNOWN,3,0,3,0,0.0,-99.92,-299.75,-99.98
stop_method,FIXED,1517,534,900,83,35.2,12.53,19001.33,-102.19
stop_method,PM low,79,11,14,54,13.92,11.34,896.02,-100.0
stop_method,PM high,23,2,4,17,8.7,5.97,137.31,-99.88
stop_method,fixed-%-fallback,3,1,2,0,33.33,-0.01,-0.04,-99.99
stop_method,BRACKET_STRUCT,1,0,1,0,0.0,-98.96,-98.96,-98.96
stop_method,recent 5-min high,20,0,20,0,0.0,-99.89,-1997.86,-99.99
stop_method,recent 5-min low,25,0,25,0,0.0,-99.94,-2498.57,-100.0
side,LONG,1409,462,811,136,32.79,9.59,13517.38,-102.19
side,SHORT,259,86,155,18,33.2,7.42,1921.85,-100.68
setup,MOO_GENESIS,557,234,320,3,42.01,26.62,14828.31,-100.56
setup,SHORT_GENESIS_9_33,214,83,130,1,38.79,17.21,3682.5,-100.68
setup,HOLDING-LONG,46,8,10,28,17.39,11.25,517.5,-99.98
setup,MOO,746,217,450,79,29.09,0.66,490.52,-102.19
setup,FAILED-GAP-SHORT,24,3,6,15,12.5,5.83,140.0,-99.99
setup,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
setup,ORB-SHORT,5,0,4,1,0.0,-79.93,-399.63,-99.99
setup,ORB-LONG|HOLDING-LONG,25,1,10,14,4.0,-25.41,-635.28,-100.0
setup,ORB-SHORT|FAILED-GAP-SHORT,16,0,15,1,0.0,-93.81,-1501.02,-99.99
setup,ORB-LONG,34,2,20,12,5.88,-46.61,-1584.71,-100.0
setup_kind,SINGLE,1484,480,879,125,32.35,6.82,10126.75,-102.19
setup_kind,(none),183,68,86,29,37.16,29.57,5411.44,-100.64
setup_kind,BRACKET_TOP,1,0,1,0,0.0,-98.96,-98.96,-98.96
cohort,MID,930,308,522,100,33.12,12.49,11620.07,-100.03
cohort,PENNY,738,240,444,54,32.52,5.18,3819.16,-102.19
conviction_band,(none),1668,548,966,154,32.85,9.26,15439.23,-102.19
regime_x_scanner,FAVORABLE | momentum,376,152,222,2,40.43,21.87,8222.7,-100.46
regime_x_scanner,HOSTILE | momentum,139,63,75,1,45.32,36.73,5105.91,-100.56
regime_x_scanner,FAVORABLE | abook,479,145,269,65,30.27,7.86,3763.07,-100.95
regime_x_scanner,FAVORABLE | short,144,57,86,1,39.58,20.09,2892.71,-100.63
regime_x_scanner,CHOP | momentum,42,19,23,0,45.24,35.71,1499.7,-100.39
regime_x_scanner,CHOP | abook,89,31,54,4,34.83,12.47,1109.63,-100.19
regime_x_scanner,CHOP | short,10,5,5,0,50.0,50.0,500.04,-100.13
regime_x_scanner,HOSTILE | short,60,21,39,0,35.0,4.83,289.75,-100.68
regime_x_scanner,CHOP | intraday,6,0,0,6,0.0,-1.76,-10.54,-22.98
regime_x_scanner,UNKNOWN | abook,3,0,3,0,0.0,-99.92,-299.75,-99.98
regime_x_scanner,FAVORABLE | intraday,144,14,65,65,9.72,-23.98,-3452.6,-100.0
regime_x_scanner,HOSTILE | abook,176,41,125,10,23.3,-23.76,-4181.39,-102.19
