ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
ATAI,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,7.33,6.96,7.7,,272,1.0,FAVORABLE,7.33,MARKET,6,MINOR,2026-09-15,2026-09-15T04:31:29.091346
ARKG,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,46.72,43.25,49.06,,28,0.67,FAVORABLE,46.72,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:35:11.110884
ECO,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,79.6,75.62,83.58,,25,1.0,FAVORABLE,79.6,MARKET,2,MINOR,2026-09-15,2026-09-15T04:58:07.728061
BMGL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,6.61,6.28,6.94,,302,1.0,FAVORABLE,6.61,MARKET,11,MINOR,2026-09-15,2026-09-15T04:58:21.081187
INSP,LONG,CONVICTION,99.7,BULL_BOUNCE_PENDING,74.01,67.78,77.71,,16,0.59,FAVORABLE,74.01,MARKET,3,MINOR,2026-09-15,2026-09-15T04:57:32.357923
CRL,LONG,CONVICTION,99.6,BULL_BOUNCE_PENDING,273.11,259.45,296.41,,7,1.71,FAVORABLE,273.11,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:38:03.470904
ETON,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,57.62,54.74,62.87,64.55,34,1.82,FAVORABLE,57.62,MARKET,20,MINOR,2026-09-15,2026-09-15T04:44:30.579752
GH,LONG,CONVICTION,98.7,BULL_BOUNCE_PENDING,167.79,151.59,176.18,,6,0.52,FAVORABLE,167.79,MARKET,9,VACUUM,2026-09-15,2026-09-15T04:35:58.595596
AVTR,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,15.16,14.4,15.92,,131,1.0,FAVORABLE,15.16,MARKET,2,COMPRESSION,2026-09-15,2026-09-15T04:28:11.011821
TDW,LONG,CONVICTION,97.7,BULL_BOUNCE_PENDING,88.58,82.35,99.82,,16,1.81,FAVORABLE,88.58,MARKET,20,MINOR,2026-09-15,2026-09-15T04:39:34.577663
EDRY,LONG,CONVICTION,97.3,BULL_BOUNCE_PENDING,66.33,63.71,69.65,,38,1.27,FAVORABLE,66.3295,MARKET,11,MINOR,2026-09-15,2026-09-15T04:25:41.884398
RNG,LONG,CONVICTION,96.4,BULL_BOUNCE_PENDING,72.43,68.58,76.05,,25,0.94,FAVORABLE,72.43,MARKET,20,MINOR,2026-09-15,2026-09-15T04:43:44.081097
SA,LONG,CONVICTION,96.3,BULL_BOUNCE_PENDING,29.61,27.36,34.01,,44,1.96,FAVORABLE,29.61,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:25:16.764194
NKTR,LONG,CONVICTION,96.2,BULL_BOUNCE_PENDING,68.5,65.08,75.12,76.33,29,1.93,FAVORABLE,68.5,MARKET,20,VACUUM,2026-09-15,2026-09-15T04:56:02.591342
SIG,LONG,CONVICTION,96.0,BULL_BOUNCE_PENDING,100.75,95.71,105.79,,19,1.0,FAVORABLE,100.75,MARKET,4,MINOR,2026-09-15,2026-09-15T04:56:40.420960
HBM,LONG,CONVICTION,95.8,BULL_BOUNCE_PENDING,25.65,23.28,29.43,,42,1.6,FAVORABLE,25.65,MARKET,20,VACUUM,2026-09-15,2026-09-15T04:29:03.370241
SRRK,LONG,CONVICTION,95.8,BULL_BOUNCE_PENDING,51.0,47.83,57.26,58.2,31,1.97,FAVORABLE,51.0,MARKET,20,MINOR,2026-09-15,2026-09-15T04:46:41.324178
TRI,LONG,CONVICTION,95.8,BULL_BOUNCE_PENDING,105.0,96.86,118.79,,12,1.69,FAVORABLE,105.0,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:48:32.523328
FTNT,LONG,CONVICTION,95.7,BULL_BOUNCE_PENDING,169.58,155.29,178.05,,6,0.59,FAVORABLE,169.5759,MARKET,18,MINOR,2026-09-15,2026-09-15T04:27:56.919794
AMZU,LONG,CONVICTION,95.7,BULL_BOUNCE_PENDING,35.25,33.49,40.13,39.42,56,2.77,FAVORABLE,35.25,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:53:24.212057
GWRE,LONG,CONVICTION,95.4,BULL_BOUNCE_PENDING,151.51,139.92,170.0,,8,1.6,FAVORABLE,151.51,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:36:05.016740
CRWD,LONG,CONVICTION,95.3,BULL_BOUNCE_PENDING,231.1,208.8,242.66,,4,0.52,FAVORABLE,231.1,MARKET,17,VACUUM,2026-09-15,2026-09-15T04:25:49.392415
ORCL,LONG,CONVICTION,95.2,BULL_BOUNCE_PENDING,143.41,136.24,156.37,164.0,13,1.81,FAVORABLE,143.41,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:23:59.092507
CRCL,LONG,CONVICTION,95.1,BULL_BOUNCE_PENDING,92.0,83.24,96.6,,11,0.53,FAVORABLE,92.0,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:25:26.769283
ODD,LONG,CONVICTION,94.7,BULL_BOUNCE_PENDING,18.7,17.76,19.64,,106,1.0,FAVORABLE,18.7,MARKET,7,MINOR,2026-09-15,2026-09-15T04:24:27.454568
BITX,LONG,CONVICTION,94.5,BULL_BOUNCE_PENDING,16.76,15.92,18.58,18.9,119,2.17,FAVORABLE,16.76,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:47:13.629731
HP,LONG,CONVICTION,94.0,BULL_BOUNCE_PENDING,42.63,40.5,46.72,47.74,46,1.92,FAVORABLE,42.63,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:38:30.991485
STIM,LONG,CONVICTION,92.0,BULL_BOUNCE_PENDING,2.9,2.75,3.22,,689,2.21,FAVORABLE,2.9,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:41:02.763715
DASH,LONG,CONVICTION,92.0,BULL_BOUNCE_PENDING,202.09,182.64,212.19,,5,0.52,FAVORABLE,202.09,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:50:43.919005
RDNT,LONG,CONVICTION,91.7,BULL_BOUNCE_PENDING,75.49,73.91,82.25,82.25,63,4.27,FAVORABLE,75.49,MARKET,5,COMPRESSION,2026-09-15,2026-09-15T04:36:42.651507
HCC,LONG,CONVICTION,91.0,BULL_BOUNCE_PENDING,95.46,90.69,102.68,109.57,20,1.51,FAVORABLE,95.46,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:38:27.865479
DT,LONG,CONVICTION,90.8,BULL_BOUNCE_CONFIRMED,53.93,50.93,61.38,,33,2.49,FAVORABLE,53.93,LIMIT,17,COMPRESSION,2026-09-15,2026-09-15T04:38:13.777921
NFLX,LONG,CONVICTION,90.2,BULL_BOUNCE_PENDING,79.68,77.16,85.72,85.85,39,2.4,FAVORABLE,79.68,MARKET,20,COMPRESSION,2026-09-15,2026-09-15T04:28:32.785860
PODD,LONG,CONVICTION,90.1,BULL_BOUNCE_PENDING,137.8,131.27,149.32,153.62,15,1.76,FAVORABLE,137.8,MARKET,20,CONVICTION,2026-09-15,2026-09-15T04:46:31.801090
ACVA,LONG,CONVICTION,90.0,BULL_BOUNCE_PENDING,10.44,9.92,11.29,,191,1.64,FAVORABLE,10.44,MARKET,3,CONVICTION,2026-09-15,2026-09-15T04:23:47.514957
RBLX,LONG,CONVICTION,89.8,BULL_BOUNCE_PENDING,51.35,47.97,53.92,,29,0.76,FAVORABLE,50.4299,STOP,20,COMPRESSION,2026-09-15,2026-09-15T04:43:41.405092
SAIL,LONG,CONVICTION,89.7,BULL_BOUNCE_PENDING,20.28,18.15,21.29,,46,0.48,FAVORABLE,19.9443,STOP,15,COMPRESSION,2026-09-15,2026-09-15T04:34:00.425615
PTCT,LONG,CONVICTION,89.7,BULL_BOUNCE_PENDING,65.17,61.69,70.62,73.05,28,1.57,FAVORABLE,66.5,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:34:32.732216
DSGX,LONG,CONVICTION,89.5,BULL_BOUNCE_PENDING,80.37,75.66,88.27,,21,1.68,FAVORABLE,80.02,STOP,9,COMPRESSION,2026-09-15,2026-09-15T04:58:07.629060
ALKT,LONG,CONVICTION,89.3,BULL_BOUNCE_PENDING,20.89,19.59,21.93,,76,0.8,FAVORABLE,19.7933,STOP,20,COMPRESSION,2026-09-15,2026-09-15T04:58:02.803041
ESAB,SHORT,CONVICTION,89.0,BEAR_REJECTION_PENDING,68.44,71.04,65.02,,38,1.31,FAVORABLE,67.52,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:51:04.343585
RMD,SHORT,CONVICTION,88.8,BEAR_REJECTION_PENDING,226.22,229.49,197.29,197.29,30,8.84,FAVORABLE,224.08,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:39:17.517100
AVGX,SHORT,CONVICTION,88.8,BEAR_REJECTION_PENDING,37.29,40.58,31.84,,30,1.66,FAVORABLE,36.56,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:52:49.569991
CHTR,LONG,CONVICTION,88.6,BULL_BOUNCE_PENDING,141.3,139.01,151.94,151.94,43,4.65,FAVORABLE,143.2,LIMIT,20,COMPRESSION,2026-09-15,2026-09-15T04:40:09.396387
ACMR,SHORT,CONVICTION,88.5,BEAR_REJECTION_PENDING,67.57,72.36,59.85,,20,1.61,FAVORABLE,66.98,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:45:30.045418
BBIO,LONG,CONVICTION,88.4,BULL_BOUNCE_PENDING,70.77,69.89,73.6,82.89,114,3.24,FAVORABLE,72.15,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:46:10.802045
NXPI,SHORT,CONVICTION,88.4,BEAR_REJECTION_PENDING,226.75,231.37,196.41,204.27,21,6.57,FAVORABLE,224.23,LIMIT,20,CONVICTION,2026-09-15,2026-09-15T04:57:50.886996
CCL,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,21.93,20.09,25.4,,54,1.88,FAVORABLE,22.38,LIMIT,20,COMPRESSION,2026-09-15,2026-09-15T04:31:27.458734
SLDE,LONG,CONVICTION,88.0,BULL_BOUNCE_PENDING,26.52,25.45,27.85,,93,1.24,FAVORABLE,26.35,STOP,0,NONE,2026-09-15,2026-09-15T04:55:18.762185
