ticker,side,tier,fem,mode,entry,stop,t1,t2,shares,rr,spy_regime,current_price,entry_type,n_gaps_above,gap_above_conviction,scan_date,asof
ATAI,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,7.3,6.93,7.67,,273,1.0,FAVORABLE,7.3,MARKET,20,COMPRESSION,2026-09-04,2026-09-04T04:40:31.807771
AVAV,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,147.0,136.05,168.06,,9,1.92,FAVORABLE,147.0,MARKET,20,COMPRESSION,2026-09-04,2026-09-04T04:44:37.066833
AVL,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,38.22,36.31,41.15,42.97,52,1.53,FAVORABLE,38.22,MARKET,20,CONVICTION,2026-09-04,2026-09-04T05:09:23.176193
ZCSH,LONG,CONVICTION,100.0,BULL_BOUNCE_PENDING,81.48,75.6,85.55,,17,0.69,FAVORABLE,81.48,MARKET,0,NONE,2026-09-04,2026-09-04T05:09:43.425235
CRVS,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,14.36,13.64,15.86,16.11,139,2.09,FAVORABLE,14.36,MARKET,20,MINOR,2026-09-04,2026-09-04T04:32:20.588499
EL,LONG,CONVICTION,99.0,BULL_BOUNCE_PENDING,100.51,95.48,109.58,,19,1.8,FAVORABLE,100.51,MARKET,20,CONVICTION,2026-09-04,2026-09-04T04:58:47.996283
BKNG,LONG,CONVICTION,98.7,BULL_BOUNCE_PENDING,196.0,185.86,214.32,,9,1.81,FAVORABLE,196.0,MARKET,20,CONVICTION,2026-09-04,2026-09-04T04:39:40.841057
HCA,LONG,CONVICTION,98.6,BULL_BOUNCE_PENDING,409.2,387.67,447.75,,4,1.79,FAVORABLE,409.2,MARKET,20,CONVICTION,2026-09-04,2026-09-04T04:38:44.399183
CF,LONG,CONVICTION,98.4,BULL_BOUNCE_PENDING,137.23,129.38,144.09,,12,0.87,FAVORABLE,137.2324,MARKET,20,MINOR,2026-09-04,2026-09-04T04:47:32.682721
MSTR,LONG,CONVICTION,98.3,BULL_BOUNCE_PENDING,141.83,134.74,148.92,,14,1.0,FAVORABLE,141.83,MARKET,20,CONVICTION,2026-09-04,2026-09-04T04:31:14.518675
LCID,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,4.63,4.4,4.98,,431,1.51,FAVORABLE,4.63,MARKET,14,COMPRESSION,2026-09-04,2026-09-04T04:35:03.993455
ARKG,LONG,CONVICTION,98.0,BULL_BOUNCE_PENDING,46.92,43.25,49.27,,27,0.64,FAVORABLE,46.9214,MARKET,20,COMPRESSION,2026-09-04,2026-09-04T04:44:32.071819
CDNA,LONG,CONVICTION,97.9,BULL_BOUNCE_PENDING,48.77,46.33,51.21,,41,1.0,FAVORABLE,48.7728,MARKET,12,MINOR,2026-09-04,2026-09-04T04:32:48.640549
SNOW,LONG,CONVICTION,97.6,BULL_BOUNCE_PENDING,356.92,339.07,374.77,,5,1.0,FAVORABLE,356.92,MARKET,17,MINOR,2026-09-04,2026-09-04T04:41:18.358934
ASST,LONG,CONVICTION,97.3,BULL_BOUNCE_PENDING,26.37,24.2,27.69,,46,0.61,FAVORABLE,26.368,MARKET,20,COMPRESSION,2026-09-04,2026-09-04T04:43:48.597605
TRI,LONG,CONVICTION,97.1,BULL_BOUNCE_PENDING,111.67,105.34,124.51,,15,2.03,FAVORABLE,111.674441,MARKET,5,COMPRESSION,2026-09-04,2026-09-04T04:59:44.223118
