system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,13041,972,2835,4453,4781,11.8,-441.49,-0.034,-3.4,69,2026-05-21,2026-09-11,NEUTRAL
FAM,score-band,90+,1511,63,270,853,325,5.3,-130.61,-0.086,-8.6,69,2026-05-21,2026-09-11,NEUTRAL
FAM,score-band,70-79,8242,435,1624,3731,2452,7.5,-893.65,-0.108,-10.8,69,2026-05-21,2026-09-11,AVOID
FAM,score-band,80-89,3637,186,725,1681,1045,7.2,-411.89,-0.113,-11.3,69,2026-05-21,2026-09-11,AVOID
FAM,setup,CHANNEL_TOP_REJECT,17,8,3,0,6,72.7,9.0,0.529,52.9,11,2026-06-23,2026-09-11,TENTATIVE
FAM,setup,BULL_BOUNCE,1572,208,129,952,283,16.1,113.03,0.072,7.2,44,2026-05-21,2026-09-08,NEUTRAL
FAM,setup,BUY_LOWER_DIRTY,53,15,19,14,5,31.2,3.19,0.06,6.0,24,2026-05-28,2026-09-08,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,11556,555,2591,4041,4369,7.7,-584.59,-0.051,-5.1,69,2026-05-21,2026-09-11,NEUTRAL
FAM,setup,CHANNEL_RECLAIM_LONG,141,18,36,77,10,13.7,-8.66,-0.061,-6.1,38,2026-05-22,2026-09-08,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,11696,739,2269,4931,3757,9.3,-1159.98,-0.099,-9.9,46,2026-05-21,2026-09-08,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,1102,90,226,642,144,9.4,-115.57,-0.105,-10.5,44,2026-05-21,2026-09-08,AVOID
FAM,setup,SHORT_UPPER_DIRTY,56,11,25,10,10,23.9,-6.08,-0.109,-10.9,26,2026-05-28,2026-09-08,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,3,0,1,1,1,0.0,-0.46,-0.153,-15.3,3,2026-07-24,2026-08-24,TENTATIVE
FAM,setup,DCB_BREAKOUT,7,1,4,2,0,14.3,-2.5,-0.357,-35.7,6,2026-05-29,2026-09-04,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,24,0,12,8,4,0.0,-11.42,-0.476,-47.6,15,2026-05-27,2026-09-11,AVOID
FAM,setup,DOUBLE_REJECTION_LONG,24,1,14,3,6,5.6,-11.81,-0.492,-49.2,15,2026-05-29,2026-09-04,AVOID
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,81,7,51,21,2,8.9,-41.56,-0.513,-51.3,26,2026-05-21,2026-09-08,AVOID
FAM,setup,CHANNEL_BREAKOUT,35,2,23,4,6,6.9,-19.09,-0.545,-54.5,21,2026-05-28,2026-09-08,AVOID
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FEM,mode,BOUNCE,367,205,30,122,10,57.4,256.6,0.699,69.9,69,2026-05-13,2026-09-11,TRUSTED
FEM,mode,PULLBACK,350,212,54,58,26,65.4,219.02,0.626,62.6,63,2026-05-13,2026-09-09,TRUSTED
FEM,mode,BREAKOUT,36,17,4,13,2,50.0,12.97,0.36,36.0,19,2026-05-13,2026-07-21,TRUSTED
FEM,score-band,90+,483,421,0,62,0,87.2,572.72,1.186,118.6,68,2026-05-13,2026-09-11,TRUSTED
FEM,score-band,60-69,47,2,16,27,2,4.4,-15.61,-0.332,-33.2,30,2026-05-14,2026-08-25,AVOID
FEM,score-band,70-79,64,5,24,29,6,8.6,-22.87,-0.357,-35.7,40,2026-05-13,2026-09-09,AVOID
FEM,score-band,80-89,101,5,43,45,8,5.4,-40.22,-0.398,-39.8,37,2026-05-13,2026-09-10,AVOID
FEM,tier,T1-STRONG_LONG,358,270,14,68,6,76.7,401.02,1.12,112.0,63,2026-05-13,2026-09-11,TRUSTED
FEM,tier,T2-LONG,274,132,40,89,13,50.6,88.01,0.321,32.1,70,2026-05-13,2026-09-10,TRUSTED
FEM,tier,T3-LONG_WATCH,121,32,34,36,19,31.4,-0.44,-0.004,-0.4,25,2026-05-13,2026-07-21,NEUTRAL
