ticker,grade_date,firm,from_grade,to_grade,action,pt_action,current_pt,prior_pt,sentiment,weight
VSH,2026-09-15 13:45,Oppenheimer,,Outperform,init,Announces,42.0,0.0,BULL,3
ALVO,2026-09-16 12:46,Barclays,Underweight,Overweight,up,Raises,8.0,4.0,BULL,4
VICR,2026-09-22 17:30,Roth Capital,Buy,Buy,reit,Maintains,375.0,375.0,NEUTRAL,1
VICR,2026-09-22 11:07,Needham,Buy,Buy,reit,Maintains,320.0,320.0,NEUTRAL,1
INTC,2026-09-24 13:14,TD Cowen,Hold,Hold,reit,Maintains,115.0,115.0,NEUTRAL,1
INTC,2026-09-15 20:03,Tigress Financial,Buy,Buy,main,Raises,145.0,118.0,BULL,2
DK,2026-09-14 18:14,Raymond James,Outperform,Outperform,main,Raises,90.0,72.0,BULL,2
DK,2026-09-14 14:57,Morgan Stanley,Equal-Weight,Equal-Weight,main,Raises,81.0,45.0,BULL,2
DK,2026-09-14 14:09,TD Cowen,Buy,Buy,main,Raises,90.0,76.0,BULL,2
CDNA,2026-09-24 10:10,BTIG,Buy,Buy,main,Raises,74.0,60.0,BULL,2
FIVN,2026-09-21 11:06,Cantor Fitzgerald,Overweight,Overweight,main,Raises,40.0,34.0,BULL,2
FIVN,2026-09-16 13:33,FBN Securities,,Outperform,init,Announces,40.0,0.0,BULL,3
ARHS,2026-09-21 13:06,Jefferies,Hold,Buy,up,Raises,10.0,9.5,BULL,4
VSTM,2026-09-17 14:03,Wolfe Research,,Outperform,init,,0.0,0.0,BULL,3
VSTM,2026-09-11 16:45,HC Wainwright & Co.,Buy,Buy,reit,Maintains,18.0,18.0,NEUTRAL,1
VSTM,2026-09-11 10:28,BTIG,Buy,Buy,reit,Maintains,18.0,18.0,NEUTRAL,1
ANGX,2026-09-18 12:40,B. Riley Securities,Buy,Buy,main,Raises,9.0,8.0,BULL,2
ESTC,2026-09-23 10:50,Cantor Fitzgerald,Neutral,Neutral,reit,Maintains,100.0,100.0,NEUTRAL,1
AUGO,2026-09-17 13:48,Scotiabank,,Sector Outperform,init,Announces,110.0,0.0,NEUTRAL,1
CHPT,2026-09-22 12:43,UBS,Neutral,Neutral,main,Raises,9.0,8.0,BULL,2
RPD,2026-09-15 15:26,JP Morgan,Neutral,Underweight,down,Maintains,12.0,12.0,BEAR,4
VIA,2026-09-21 17:52,Morgan Stanley,Overweight,Overweight,main,Raises,33.0,24.0,BULL,2
CORT,2026-09-18 16:38,HC Wainwright & Co.,Buy,Buy,reit,Maintains,165.0,165.0,NEUTRAL,1
OMER,2026-09-22 10:38,Cantor Fitzgerald,Neutral,Overweight,up,Announces,22.0,0.0,BULL,4
BBNX,2026-09-24 15:17,Truist Securities,Buy,Buy,main,Raises,28.0,23.0,BULL,2
BBNX,2026-09-23 15:27,Wells Fargo,,Overweight,init,Announces,28.0,0.0,BULL,3
BBNX,2026-09-15 17:48,B of A Securities,Neutral,Neutral,main,Raises,20.0,18.0,BULL,2
BBNX,2026-09-15 14:49,Truist Securities,Buy,Buy,reit,Raises,23.0,22.0,BULL,2
BBNX,2026-09-15 12:41,Baird,Neutral,Neutral,main,Raises,16.0,14.0,BULL,2
BBNX,2026-09-14 21:59,Leerink Partners,Outperform,Outperform,main,Raises,27.0,24.0,BULL,2
PLSE,2026-09-23 10:26,BTIG,,Buy,init,Announces,70.0,0.0,BULL,3
PAYS,2026-09-15 15:56,Lake Street,Buy,Buy,main,Raises,15.0,13.0,BULL,2
