system,dimension,bucket,n,wins,stops,closes,no_fill,wr,total_r,ev_r,ev_dollars,sessions,first_seen,last_seen,trust
FAM,score-band,60-69,6247,659,1420,2104,2064,15.8,7.97,0.001,0.1,50,2026-05-21,2026-08-14,NEUTRAL
FAM,score-band,80-89,1827,136,380,880,431,9.7,-189.8,-0.104,-10.4,50,2026-05-21,2026-08-14,AVOID
FAM,score-band,70-79,3986,306,860,1793,1027,10.3,-417.42,-0.105,-10.5,50,2026-05-21,2026-08-14,AVOID
FAM,score-band,90+,755,38,171,419,127,6.1,-82.31,-0.109,-10.9,50,2026-05-21,2026-08-14,AVOID
FAM,setup,CHANNEL_TOP_REJECT,8,4,0,0,4,100.0,6.0,0.75,75.0,6,2026-06-23,2026-07-27,TENTATIVE
FAM,setup,BULL_BOUNCE,799,146,59,452,142,22.2,157.93,0.198,19.8,32,2026-05-21,2026-08-14,TRUSTED
FAM,setup,BUY_LOWER_DIRTY,25,9,10,5,1,37.5,3.66,0.146,14.6,16,2026-05-28,2026-08-14,TRUSTED
FAM,setup,CHANNEL_RECLAIM_LONG,99,16,23,58,2,16.5,1.7,0.017,1.7,30,2026-05-22,2026-08-14,NEUTRAL
FAM,setup,BEAR_REJECTION_PENDING,4566,327,1108,1574,1557,10.9,-211.56,-0.046,-4.6,50,2026-05-21,2026-08-14,NEUTRAL
FAM,setup,BULL_BOUNCE_CONFIRMED,676,67,125,390,94,11.5,-42.02,-0.062,-6.2,32,2026-05-21,2026-08-14,NEUTRAL
FAM,setup,BULL_BOUNCE_PENDING,6434,555,1366,2679,1834,12.1,-491.34,-0.076,-7.6,34,2026-05-21,2026-08-14,NEUTRAL
FAM,setup,SHORT_UPPER_DIRTY,25,5,13,4,3,22.7,-4.39,-0.176,-17.6,17,2026-05-28,2026-08-13,AVOID
FAM,setup,CHANNEL_GAP_BREAKOUT_LONG,67,7,43,15,2,10.8,-31.95,-0.477,-47.7,19,2026-05-21,2026-08-14,AVOID
FAM,setup,CHANNEL_BREAKOUT,25,2,16,2,5,10.0,-12.03,-0.481,-48.1,13,2026-05-28,2026-08-11,AVOID
FAM,setup,CHANNEL_BREAKDOWN_SHORT,2,0,1,0,1,0.0,-1.0,-0.5,-50.0,2,2026-07-24,2026-07-27,TENTATIVE
FAM,setup,DOUBLE_REJECTION_LONG,14,0,8,2,4,0.0,-8.11,-0.579,-57.9,10,2026-05-29,2026-08-14,TENTATIVE
FAM,setup,CHANNEL_GAP_BREAKDOWN_SHORT,6,0,4,2,0,0.0,-3.48,-0.58,-58.0,6,2026-05-27,2026-08-10,TENTATIVE
FAM,setup,DOUBLE_REJECTION_SHORT,64,1,51,12,0,1.6,-41.14,-0.643,-64.3,3,2026-05-21,2026-05-26,AVOID
FAM,setup,DCB_BREAKOUT,5,0,4,1,0,0.0,-3.83,-0.766,-76.6,4,2026-05-29,2026-08-12,TENTATIVE
FEM,mode,BOUNCE,307,184,27,87,9,61.7,225.45,0.734,73.4,51,2026-05-13,2026-08-14,TRUSTED
FEM,mode,PULLBACK,329,197,54,54,24,64.6,199.73,0.607,60.7,50,2026-05-13,2026-08-14,TRUSTED
FEM,mode,BREAKOUT,36,17,4,13,2,50.0,12.97,0.36,36.0,19,2026-05-13,2026-07-21,TRUSTED
FEM,score-band,90+,424,385,0,39,0,90.8,517.38,1.22,122.0,50,2026-05-13,2026-08-14,TRUSTED
FEM,score-band,60-69,46,2,16,26,2,4.5,-15.64,-0.34,-34.0,29,2026-05-14,2026-08-14,AVOID
FEM,score-band,70-79,56,5,22,25,4,9.6,-20.34,-0.363,-36.3,33,2026-05-13,2026-08-12,AVOID
FEM,score-band,80-89,91,5,42,36,8,6.0,-38.47,-0.423,-42.3,30,2026-05-13,2026-08-06,AVOID
FEM,tier,T1-STRONG_LONG,309,247,13,43,6,81.5,360.73,1.167,116.7,48,2026-05-13,2026-08-14,TRUSTED
FEM,tier,T2-LONG,242,119,38,75,10,51.3,77.86,0.322,32.2,52,2026-05-13,2026-08-14,TRUSTED
FEM,tier,T3-LONG_WATCH,121,32,34,36,19,31.4,-0.44,-0.004,-0.4,25,2026-05-13,2026-07-21,NEUTRAL
